,coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor,longitude,latitude,street_safety_score
0,2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1,5,150.0,1.0,3004,1,9.291862121750455,47.40388060154835,18.60108534009674
1,2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1,3,90.0,1.0,3004,2,9.291862121750455,47.40388060154835,18.60108534009674
2,2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1,5,180.0,1.0,3004,1,9.292052411340368,47.4038271682036,18.644673476376592
3,2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1,3,94.0,1.0,3004,2,9.292052411340368,47.4038271682036,18.644673476376592
4,2739893.8,1251957.3,St. Gallen,SG,1969.0,Schoretshuebstrasse,35,1,6,140.0,1.0,3004,1,9.292076449516976,47.40356587716676,18.644673476376592
5,2740874.6,1251822.2,St. Gallen,SG,1918.0,Neuhofweg,51,0,5,138.0,1.0,3004,1,9.305023714104202,47.40214204154487,21.78721017876569
6,2740874.6,1251822.2,St. Gallen,SG,1918.0,Neuhofweg,51,0,4,110.0,1.0,3004,2,9.305023714104202,47.40214204154487,21.78721017876569
7,2740874.6,1251822.2,St. Gallen,SG,1918.0,Neuhofweg,51,0,3,61.0,1.0,3004,3,9.305023714104202,47.40214204154487,21.78721017876569
8,2740627.5,1251739.3,St. Gallen,SG,1962.0,Blériotweg,3,0,4,71.0,1.0,3004,1,9.30172510912471,47.40144943517857,19.273414936368894
9,2740627.5,1251739.3,St. Gallen,SG,1962.0,Blériotweg,3,0,4,78.0,1.0,3004,2,9.30172510912471,47.40144943517857,19.273414936368894
10,2740627.5,1251739.3,St. Gallen,SG,1962.0,Blériotweg,3,0,4,76.0,1.0,3004,3,9.30172510912471,47.40144943517857,19.273414936368894
11,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,1,9.301294322408795,47.40227958419296,19.273414936368894
12,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,2,9.301294322408795,47.40227958419296,19.273414936368894
13,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,3,9.301294322408795,47.40227958419296,19.273414936368894
14,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,4,9.301294322408795,47.40227958419296,19.273414936368894
15,2740643.1,1251728.1,St. Gallen,SG,1962.0,Blériotweg,7,0,4,71.0,1.0,3004,1,9.30192818694589,47.4013453971064,19.273414936368894
16,2740643.1,1251728.1,St. Gallen,SG,1962.0,Blériotweg,7,0,4,78.0,1.0,3004,2,9.30192818694589,47.4013453971064,19.273414936368894
17,2740643.1,1251728.1,St. Gallen,SG,1962.0,Blériotweg,7,0,4,76.0,1.0,3004,3,9.30192818694589,47.4013453971064,19.273414936368894
18,2740639.1,1251918.5,St. Gallen,SG,1918.0,Herisauer Strasse,71,0,5,150.0,1.0,3004,1,9.301935092038777,47.40305827146971,19.38144630291796
19,2740639.1,1251918.5,St. Gallen,SG,1918.0,Herisauer Strasse,71,0,5,150.0,1.0,3004,2,9.301935092038777,47.40305827146971,19.38144630291796
20,2740639.1,1251918.5,St. Gallen,SG,1918.0,Herisauer Strasse,71,0,5,150.0,1.0,3004,3,9.301935092038777,47.40305827146971,19.38144630291796
21,2740632.9,1251894.8,St. Gallen,SG,1918.0,Herisauer Strasse,73,0,4,90.0,1.0,3004,1,9.301845525897674,47.40284649205173,19.273414936368894
22,2740632.9,1251894.8,St. Gallen,SG,1918.0,Herisauer Strasse,73,0,4,90.0,1.0,3004,2,9.301845525897674,47.40284649205173,19.273414936368894
23,2740632.9,1251894.8,St. Gallen,SG,1918.0,Herisauer Strasse,73,0,3,76.0,1.0,3004,3,9.301845525897674,47.40284649205173,19.273414936368894
24,2740673.0,1251738.9,St. Gallen,SG,1962.0,Blériotweg,9b,0,4,68.0,1.0,3004,1,9.302327566960304,47.40143612212066,19.273414936368894
25,2740673.0,1251738.9,St. Gallen,SG,1962.0,Blériotweg,9b,0,4,74.0,1.0,3004,2,9.302327566960304,47.40143612212066,19.273414936368894
26,2740673.0,1251738.9,St. Gallen,SG,1962.0,Blériotweg,9b,0,4,75.0,1.0,3004,3,9.302327566960304,47.40143612212066,19.273414936368894
27,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,97.0,1.0,3004,1,9.30144683014344,47.40057763528721,19.273414936368894
28,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,97.0,1.0,3004,2,9.30144683014344,47.40057763528721,19.273414936368894
29,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,97.0,1.0,3004,3,9.30144683014344,47.40057763528721,19.273414936368894
