immocode,title,offerType,propertyType,propertySubType,secondaryPropertySubTypes,streetType,street,city,postalCode,latitude,longitude,contactLogoUrl,contactCompanyName,priceType,price,priceNegotiable,availabilityType,floor,rooms,livingArea,images,hasTopPromotion,hasHighlight,has3DModel,isSpidered,customerId,customerRole,mandantCode,hasSpecialPromotion,searchLocation,availabilityDate,constructionYear
5188666,Zentrale 3.5 Zi. Wohnung St. Gallen,2,2,201,[],1,Buchentalstrasse 15,St. Gallen,9000,47.4344148754302,9.39707134356587,,,2,1350.0,False,2,3.0,3.5,,"['https://www.newhome.ch/res/5188666/ort-st-gallen/buchentalstrasse/wohnung/wohnung-123925285-trnh.jpg', 'https://www.newhome.ch/res/5188666/ort-st-gallen/buchentalstrasse/wohnung/wohnung-123925290-trnh.jpg', 'https://www.newhome.ch/res/5188666/ort-st-gallen/buchentalstrasse/wohnung/wohnung-123925286-trnh.jpg']",False,False,False,False,504531,1,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9000', 'locationType': 1, 'identifier': '2;3206', 'coordinate': {'latitude': 47.4241, 'longitude': 9.37088}}",2023-04-01T00:00:00.0000000,
5188496,4 Zimmer-Wohnung im Zentrum der Stadt,2,2,201,[],1,Torstrasse 11,St. Gallen,9000,47.42694,9.377739,https://www.newhome.ch/res/anb/511008/logo.png?t=637263541216474673,IBSG AG,2,1630.0,False,2,3.0,4.0,,"['https://www.newhome.ch/res/5188496/ort-st-gallen/torstrasse/wohnung/wohnung-125150881-trnh.jpg', 'https://www.newhome.ch/res/5188496/ort-st-gallen/torstrasse/wohnung/wohnung-125202038-trnh.jpg']",False,False,False,False,511008,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9000', 'locationType': 1, 'identifier': '2;3206', 'coordinate': {'latitude': 47.4241, 'longitude': 9.37088}}",2023-03-01T00:00:00.0000000,
5188413,"ZENTRUMSNAH, MIT BALKON",2,2,201,[],2,,St. Gallen,9000,47.4241,9.37088,https://www.newhome.ch/res/anb/513109/logo.png?t=637426099566738991,Betterhomes (Schweiz) AG,2,1350.0,False,3,5.0,3.0,75.0,"['https://www.newhome.ch/res/5188413/ort-st-gallen/wohnung/wohnung-123911036-trnh.jpg', 'https://www.newhome.ch/res/5188413/ort-st-gallen/wohnung/wohnung-123911037-trnh.jpg', 'https://www.newhome.ch/res/5188413/ort-st-gallen/wohnung/wohnung-123911038-trnh.jpg', 'https://www.newhome.ch/res/5188413/ort-st-gallen/wohnung/wohnung-123911039-trnh.jpg', 'https://www.newhome.ch/res/5188413/ort-st-gallen/wohnung/wohnung-123911040-trnh.jpg', 'https://www.newhome.ch/res/5188413/ort-st-gallen/wohnung/wohnung-123911041-trnh.jpg']",False,False,False,False,513109,3,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9000', 'locationType': 1, 'identifier': '2;3206', 'coordinate': {'latitude': 47.4241, 'longitude': 9.37088}}",,
5188402,ZENTRAL GELEGEN,2,2,201,[],2,,St. Gallen,9012,47.4092997,9.3651991,https://www.newhome.ch/res/anb/513109/logo.png?t=637426099566738991,Betterhomes (Schweiz) AG,2,1490.0,False,3,3.0,3.5,90.0,"['https://www.newhome.ch/res/5188402/ort-st-gallen/wohnung/wohnung-123909863-trnh.jpg', 'https://www.newhome.ch/res/5188402/ort-st-gallen/wohnung/wohnung-123909864-trnh.jpg', 'https://www.newhome.ch/res/5188402/ort-st-gallen/wohnung/wohnung-123909865-trnh.jpg', 'https://www.newhome.ch/res/5188402/ort-st-gallen/wohnung/wohnung-123909866-trnh.jpg', 'https://www.newhome.ch/res/5188402/ort-st-gallen/wohnung/wohnung-123909867-trnh.jpg', 'https://www.newhome.ch/res/5188402/ort-st-gallen/wohnung/wohnung-123909868-trnh.jpg']",False,False,False,False,513109,3,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9012', 'locationType': 1, 'identifier': '2;3217', 'coordinate': {'latitude': 47.4092997, 'longitude': 9.3651991}}",,
5188360,«ERSTVERMIETUNG - Haus SATURN»,2,2,209,[],1,Lindenstrasse 155,St. Gallen,9016,47.4380593269309,9.40345709650006,,,2,1540.0,False,3,6.0,2.5,51.0,"['https://www.newhome.ch/res/5188360/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123905849-trnh.jpg', 'https://www.newhome.ch/res/5188360/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123905514-trnh.jpg', 'https://www.newhome.ch/res/5188360/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123905516-trnh.jpg', 'https://www.newhome.ch/res/5188360/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123905850-trnh.jpg']",False,False,False,False,713436,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9016', 'locationType': 1, 'identifier': '2;3222', 'coordinate': {'latitude': 47.4408258, 'longitude': 9.417473}}",,2022.0
5188357,«ERSTVERMIETUNG - Haus SATURN»,2,2,209,[],1,Lindenstrasse 155,St. Gallen,9016,47.4380593269309,9.40345709650006,,,2,1835.0,False,3,2.0,2.5,77.0,"['https://www.newhome.ch/res/5188357/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123906144-trnh.jpg', 'https://www.newhome.ch/res/5188357/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123905173-trnh.jpg', 'https://www.newhome.ch/res/5188357/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123906143-trnh.jpg', 'https://www.newhome.ch/res/5188357/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123905175-trnh.jpg']",False,False,False,False,713436,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9016', 'locationType': 1, 'identifier': '2;3222', 'coordinate': {'latitude': 47.4408258, 'longitude': 9.417473}}",,2022.0
5188356,«ERSTVERMIETUNG - Haus SATURN»,2,2,209,[],1,Lindenstrasse 155,St. Gallen,9016,47.4380593269309,9.40345709650006,,,2,1985.0,False,3,2.0,2.5,82.0,"['https://www.newhome.ch/res/5188356/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123906416-trnh.jpg', 'https://www.newhome.ch/res/5188356/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123904983-trnh.jpg', 'https://www.newhome.ch/res/5188356/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123906418-trnh.jpg', 'https://www.newhome.ch/res/5188356/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123904982-trnh.jpg']",False,False,False,False,713436,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9016', 'locationType': 1, 'identifier': '2;3222', 'coordinate': {'latitude': 47.4408258, 'longitude': 9.417473}}",,2022.0
5188353,«ERSTVERMIETUNG - Haus SATURN»,2,2,209,[],1,Lindenstrasse 155,St. Gallen,9016,47.4380593269309,9.40345709650006,,,2,1610.0,False,3,4.0,2.5,58.0,"['https://www.newhome.ch/res/5188353/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123906596-trnh.jpg', 'https://www.newhome.ch/res/5188353/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123904637-trnh.jpg', 'https://www.newhome.ch/res/5188353/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123906595-trnh.jpg', 'https://www.newhome.ch/res/5188353/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123904306-trnh.jpg']",False,False,False,False,713436,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9016', 'locationType': 1, 'identifier': '2;3222', 'coordinate': {'latitude': 47.4408258, 'longitude': 9.417473}}",,2022.0
5188350,«ERSTVERMIETUNG - Haus SATURN»,2,2,209,[],1,Lindenstrasse 155,St. Gallen,9016,47.4380593269309,9.40345709650006,,,2,1240.0,False,3,11.0,1.5,29.0,"['https://www.newhome.ch/res/5188350/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123904286-trnh.jpg', 'https://www.newhome.ch/res/5188350/ort-st-gallen/lindenstrasse/wohnung/neubauwohnung-123904284-trnh.jpg']",False,False,False,False,713436,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9016', 'locationType': 1, 'identifier': '2;3222', 'coordinate': {'latitude': 47.4408258, 'longitude': 9.417473}}",,2022.0
5188293,Exklusive Jugendstil-Wohnung mit sonniger Terrasse,2,2,201,[],1,Oststrasse 20,St. Gallen,9000,47.4316063511332,9.3939918323392,https://www.newhome.ch/res/anb/576536/logo.jpg?t=637461308034622494,IT3 St. Gallen AG,2,1450.0,False,3,2.0,2.5,67.0,"['https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896599-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896600-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896601-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896602-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896603-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896604-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896605-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896606-trnh.png', 'https://www.newhome.ch/res/5188293/ort-st-gallen/oststrasse/wohnung/wohnung-123896607-trnh.png']",False,False,False,False,576536,2,SGKB,False,"{'displayName': 'St. Gallen', 'postalcode': '9000', 'locationType': 1, 'identifier': '2;3206', 'coordinate': {'latitude': 47.4241, 'longitude': 9.37088}}",,
