Charger ID;Charger Status;ChargingStationId;OperatorID;OperatorName;IsOpen24Hours;Accessibility;GeoCoordinates;address_country;address_canton;address_region;address_city;address_postalcode;address_street;address_timezone;address_floor;Plugs;PaymentOptions;MaxCapacity;ChargingFacilities (Power);AuthenticationModes;DynamicInfoAvailable;ValueAddedServices;IsHubjectCompatible;lastUpdate;ClearinghouseID;HubOperatorID;AdditionalInfo;deltaType;ChargingPoolID;OpeningTimes;GeoChargingPointEntrance;HotlinePhoneNum;ChargingStationNames;AccessibilityLocation;CalibrationLawDataAvailability;ChargingStationLocationReference;EnergySource;EnvironmentalImpact;LocationImage;RenewableEnergy;SuboperatorName;DynamicPowerLevel;HardwareManufacturer
CH*CCC*E50437;Available;CH*CCC*E50437;CH*CCC;Move;1;Paying publicly accessible;47.40741,9.302264;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 475;;;CCS Combo 2 Plug (Cable Attached);;;50.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""TCS Service Center  St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCC*E50436;Available;CH*CCC*E50437;CH*CCC;Move;1;Paying publicly accessible;47.40741,9.302264;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 475;;;CHAdeMO;;;50.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""TCS Service Center  St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20648;Available;CH*CCI*E20651;CH*CCC;Move;1;Paying publicly accessible;47.425514,9.378698;CHE;St. Gallen;;St. Gallen;9000;Burggraben 16;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""CityParking Burggraben"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20622;Available;CH*CCI*E20622;CH*CCC;Move;1;Paying publicly accessible;47.412799,9.335419;CHE;St. Gallen;;St. Gallen;9001;Zürcher Strasse 204;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Parkhaus EKZ Lerchenfeld"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20624;Available;CH*CCI*E20622;CH*CCC;Move;1;Paying publicly accessible;47.412799,9.335419;CHE;St. Gallen;;St. Gallen;9001;Zürcher Strasse 204;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Parkhaus EKZ Lerchenfeld"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20594;Available;CH*CCI*E20594;CH*CCC;Move;1;Paying publicly accessible;47.422804,9.367154;CHE;St. Gallen;;St. Gallen;9000;Lagerstrasse 6;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""City Parking Bahnhof St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20589;Available;CH*CCI*E20589;CH*CCC;Move;1;Paying publicly accessible;47.437577,9.405831;CHE;St. Gallen;;St. Gallen;9016;Rorschacherstrasse 253;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Parkplatz Neudorf"", ""lang"": null}]";;;;;;;;;;
CH*CCC*E50271;Occupied;CH*CCC*E50271;CH*CCC;Move;1;Paying publicly accessible;47.43156,9.38608;CHE;St. Gallen;;St. Gallen;9000;Steinachstrasse;;;CCS Combo 2 Plug (Cable Attached);;;150.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Kantonsspital St.Gallen/Parking B0"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20511;Available;CH*CCI*E20512;CH*CCC;Move;1;Paying publicly accessible;47.417518,9.336491;CHE;St. Gallen;;St. Gallen;9001;Rechenstrasse 37;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Vifor AG"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20506;Available;CH*CCI*E20503;CH*CCC;Move;1;Paying publicly accessible;47.431215,9.383365;CHE;St. Gallen;;St. Gallen;9000;Splügenstrasse 12;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Olma Messen, St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20478;Occupied;CH*CCI*E20478;CH*CCC;Move;1;Paying publicly accessible;47.410742,9.336991;CHE;St. Gallen;;St. Gallen;9014;Erlacherstrasse 3;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Baldegger, St.Gallen"", ""lang"": null}]";;;;;;;;;;
CHEVPE765;Available;870;CHEVP;evpass;0;Free publicly accessible;47.404614,9.309243;CHE;St. Gallen;;St. Gallen;9015;Bildweiherstrasse 9;UTC+01:00;;"Type 2 Connector (Cable Attached);Type 1 Connector (Cable Attached);Type J Swiss Standard";"Contract;Direct";;22.0,3.7,3.7;"REMOTE;NFC RFID Classic;NFC RFID DESFire;Direct Payment";true;MaximumPowerCharging;0;;;;"[{""lang"": ""de-DE"", ""value"": ""- Mo - FR; 07.00 - 17.00 Uhr für Mitarbeiter oder Besucher der SAK reserviert - Ausserhalb dieser Zeiten ist die Ladestation öffentlich verfügbar""}]";;;;;0488848044;"[{""value"": ""SAK Werkhof Winkeln"", ""lang"": null}]";;;;;;;;;;
CHEVPE2306;Occupied;1085;CHEVP;evpass;0;Free publicly accessible;47.431091,9.380416;CHE;St. Gallen;;St. Gallen;9000;St. Jakob-Strasse 55;UTC+01:00;;"Type 2 Connector (Cable Attached);Type 1 Connector (Cable Attached)";"Contract;Direct";;22.0,3.7;"REMOTE;NFC RFID Classic;NFC RFID DESFire;Direct Payment";true;MaximumPowerCharging;0;;;;"[{""lang"": ""de-DE"", ""value"": ""Nur für Hotelgäste""}]";;;;;0488848044;"[{""value"": ""evpass -P1- SAK - Radisson Blu Hotel - E2"", ""lang"": null}]";;;;;;;;;;
CHEVPE2079;Available;1812;CHEVP;evpass;0;Free publicly accessible;47.407333,9.294186;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 511;UTC+01:00;;Type 2 Connector (Cable Attached);"Contract;Direct";;22.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire;Direct Payment";true;MaximumPowerCharging;0;;;;;;;;;0488848044;"[{""value"": ""evpass - ABB Terra 53 - SAK - City Garage"", ""lang"": null}]";;;;;;;;;;
CHEVPE2104;Available;1812;CHEVP;evpass;0;Free publicly accessible;47.407333,9.294186;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 511;UTC+01:00;;CCS Combo 2 Plug (Cable Attached);"Contract;Direct";;50.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire;Direct Payment";true;MaximumPowerCharging;0;;;;;;;;;0488848044;"[{""value"": ""evpass - ABB Terra 53 - SAK - City Garage"", ""lang"": null}]";;;;;;;;;;
CHEVPE2596;Available;2334;CHEVP;evpass;0;Free publicly accessible;47.407297,9.294686;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 511;UTC+01:00;;"Type 2 Connector (Cable Attached);Type 1 Connector (Cable Attached)";Contract;;22.0,3.7;"REMOTE;NFC RFID Classic;NFC RFID DESFire";true;MaximumPowerCharging;0;;;;;;;;;0488848044;"[{""value"": ""SAK - City Garage - 02"", ""lang"": null}]";;;;;;;;;;
CHEVPE2040;Available;3039;CHEVP;evpass;0;Free publicly accessible;47.419421,9.363853;CHE;St. Gallen;;St. Gallen;9000;Burgstrasse 15;UTC+01:00;;"Type 2 Connector (Cable Attached);Type 1 Connector (Cable Attached)";"Contract;Direct";;22.0,3.7;"REMOTE;NFC RFID Classic;NFC RFID DESFire;Direct Payment";true;MaximumPowerCharging;0;;;;"[{""lang"": ""de-DE"", ""value"": ""Parkplatz Nr. 2""}]";;;;;0488848044;"[{""value"": ""evpass - P1 - SAK - AVIA Osterwalder St.Gallen"", ""lang"": null}]";;;;;;;;;;
CHEVPE3071;Available;4610;CHEVP;evpass;0;Free publicly accessible;47.41843,9.366014;CHE;St. Gallen;;St. Gallen;9000;Unterstrasse 52;UTC+01:00;;"Type 1 Connector (Cable Attached);Type 2 Connector (Cable Attached)";Contract;;7.0,22.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire";true;MaximumPowerCharging;0;;;;;;;;;0488848044;"[{""value"": ""NWZ c/o Varioserv - N2 - Unterstrasse St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*ECUEGBNTU8HX7ZEURZ23F5475DTLSA;Available;CH*ECUEGBNTU8HX7ZEURZ23F5475DTLSA;CH*ECU;eCarUp;0;Free publicly accessible;47.422824,9.372298;CHE;St. Gallen;;St. Gallen;9000;St. Leonhard-Strasse 25;UTC+02:00;;Type 2 Outlet;Direct;0;;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""SGKB Parkplatz 2""}, {""lang"": ""de"", ""value"": ""SGKB Parkplatz 2""}]";OnStreet;Not Available;;;;;;;;
CH*ECUE9YTAPH66WG23WCBSCJL8D6P9CA;Available;CH*ECUEGBNTU8HX7ZEURZ23F5475DTLSA;CH*ECU;eCarUp;0;Free publicly accessible;47.422824,9.372298;CHE;St. Gallen;;St. Gallen;9000;St. Leonhard-Strasse 25;UTC+02:00;;Type 2 Outlet;Direct;0;;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""SGKB Parkplatz 2""}, {""lang"": ""de"", ""value"": ""SGKB Parkplatz 2""}]";OnStreet;Not Available;;;;;;;;
CH*ECUEQ5MMBJMEXPQ2W9NSLPYRJFBEZ3;Available;CH*ECUEHSP3KT4RJYM6EQFBEDMMJDMWGX;CH*ECU;eCarUp;0;Free publicly accessible;47.426066,9.387268;CHE;St. Gallen;;St. Gallen;9000;Molkenstrasse 7;UTC+02:00;;Type 2 Outlet;Direct;0;11.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""Emil Frey St.Gallen 2A""}, {""lang"": ""de"", ""value"": ""Emil Frey St.Gallen 2A""}]";OnStreet;Not Available;;;;;;;;
CH*ECUEHSP3KT4RJYM6EQFBEDMMJDMWGX;Occupied;CH*ECUEHSP3KT4RJYM6EQFBEDMMJDMWGX;CH*ECU;eCarUp;0;Free publicly accessible;47.426066,9.387268;CHE;St. Gallen;;St. Gallen;9000;Molkenstrasse 7;UTC+02:00;;Type 2 Outlet;Direct;0;11.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""Emil Frey St.Gallen 2A""}, {""lang"": ""de"", ""value"": ""Emil Frey St.Gallen 2A""}]";OnStreet;Not Available;;;;;;;;
CH*ECUE4TWH6ZXY7EPKGRS39ZM962GJPW;OutOfService;CH*ECUE4TWH6ZXY7EPKGRS39ZM962GJPW;CH*ECU;eCarUp;0;Free publicly accessible;47.404251,9.309159;CHE;St. Gallen;;St. Gallen;9015;Bildweiherstrasse 9;UTC+02:00;;Type 2 Outlet;Direct;0;3.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""ZCS018471""}, {""lang"": ""de"", ""value"": ""ZCS018471""}]";OnStreet;Not Available;;;;;;;;
CH*ECUE336UWSSFRFK44G4YQFWC8CLM32;Available;CH*ECUE4TWH6ZXY7EPKGRS39ZM962GJPW;CH*ECU;eCarUp;0;Free publicly accessible;47.404251,9.309159;CHE;St. Gallen;;St. Gallen;9015;Bildweiherstrasse 9;UTC+02:00;;Type 2 Outlet;Direct;0;22.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""ZCS018471""}, {""lang"": ""de"", ""value"": ""ZCS018471""}]";OnStreet;Not Available;;;;;;;;
CH*ECUEBV5CJ89SYHXKY9LPQ5AESM8BUQ;Available;CH*ECUEFHTCRXG2S9V6XLSC4XAMB8Z44Q;CH*ECU;eCarUp;0;Free publicly accessible;47.43752,9.379337;CHE;St. Gallen;;St. Gallen;9010;Tannenstrasse 54;UTC+02:00;;Type 2 Outlet;Direct;0;22.0;"REMOTE;NFC RFID Classic;NFC RFID DESFire";auto;DynamicPricing;0;;;;"[{""lang"": ""en"", ""value"": ""Visit web.ecarup.com for more information and to download native app.""}]";insert;;;;;"[{""lang"": ""en"", ""value"": ""MFH  Tannenstrasse 54""}, {""lang"": ""de"", ""value"": ""MFH  Tannenstrasse 54""}]";OnStreet;Not Available;;;;;;;;
