coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor,longitude,latitude
2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1.0,5.0,150.0,1.0,3004,1,9.291862121750457,47.40388060154835
2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1.0,3.0,90.0,1.0,3004,2,9.291862121750457,47.40388060154835
2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1.0,5.0,180.0,1.0,3004,1,9.292052411340368,47.4038271682036
2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1.0,3.0,94.0,1.0,3004,2,9.292052411340368,47.4038271682036
2739893.8,1251957.3,St. Gallen,SG,1969.0,Schoretshuebstrasse,35,1.0,6.0,140.0,1.0,3004,1,9.292076449516976,47.403565877166756
2740171.5,1251703.0,St. Gallen,SG,1977.0,Wiesenbachstrasse,4,1.0,5.0,180.0,1.0,3004,1,9.295674639513093,47.401220239380955
2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,3.0,80.0,1.0,3004,1,9.294757754171886,47.40160293702736
2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,4.0,100.0,1.0,3004,2,9.294757754171886,47.40160293702736
2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,3.0,80.0,1.0,3004,3,9.294757754171886,47.40160293702736
2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,4.0,100.0,1.0,3004,4,9.294757754171886,47.40160293702736
2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,3.0,80.0,1.0,3004,5,9.294757754171886,47.40160293702736
2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,6.0,150.0,1.0,3004,6,9.294757754171886,47.40160293702736
2740108.6,1251737.5,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44,0.0,5.0,,1.0,3004,2,9.294852427804067,47.401543837148076
2740108.6,1251737.5,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44,0.0,5.0,,1.0,3004,3,9.294852427804067,47.401543837148076
2740108.6,1251737.5,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44,0.0,6.0,,1.0,3004,4,9.294852427804067,47.401543837148076
2740165.8,1251681.6,St. Gallen,SG,1989.0,Geigerstrasse,30c,1.0,6.0,190.0,1.0,3004,1,9.295592443986804,47.401029029553655
2740160.5,1251686.4,St. Gallen,SG,1989.0,Geigerstrasse,30d,0.0,5.0,200.0,1.0,3004,1,9.295523757702794,47.40107331769255
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,1,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,3.0,75.0,1.0,3004,2,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,3,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,4,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,5,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,6,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,7,9.295217150853965,47.40174310430959
2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,8.0,196.0,1.0,3004,9,9.295217150853965,47.40174310430959
