Geo Point;Geo Shape;Kategorie;Bezeichnung;Adresse;Ort;Land;PLZ;Information;Parkplatzart;Anzahl_Parkplätze
47.41593229237727,9.357258753768159;"{""coordinates"": [9.357258753768159, 47.41593229237727], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Turnerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42413547865985,9.372072070168064;"{""coordinates"": [9.372072070168064, 47.42413547865985], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schützengasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42406690266316,9.372128553751967;"{""coordinates"": [9.372128553751967, 47.42406690266316], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schützengasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.42390995760674,9.372257755631594;"{""coordinates"": [9.372257755631594, 47.42390995760674], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schützengasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.41621388155484,9.363862671238136;"{""coordinates"": [9.363862671238136, 47.41621388155484], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tschudistrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 8;Erweiterte Blaue Zone;8.0
47.42247806055078,9.373458643363195;"{""coordinates"": [9.373458643363195, 47.42247806055078], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Frongartenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.406325124884255,9.332908948944679;"{""coordinates"": [9.332908948944679, 47.406325124884255], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lehnhaldenstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.4214163792207,9.374405740867958;"{""coordinates"": [9.374405740867958, 47.4214163792207], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkhaus Einstein;Wassergasse;St.Gallen;Schweiz;9000;Unterirdisch, Garage: 100;Unterirdisch, Garage;100.0
47.42589848483874,9.382208257625045;"{""coordinates"": [9.382208257625045, 47.42589848483874], ""type"": ""Point""}";Parkplätze, Parkhäuser;Lämmlisbrunnenstrasse Nordseite;Lämmlisbrunnenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.44170011432648,9.380898151610632;"{""coordinates"": [9.380898151610632, 47.44170011432648], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tanneichenstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42006322141193,9.351458407206911;"{""coordinates"": [9.351458407206911, 47.42006322141193], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schönaustrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.40753852976279,9.334026422366838;"{""coordinates"": [9.334026422366838, 47.40753852976279], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Stockbergstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43572941628534,9.40452160194644;"{""coordinates"": [9.40452160194644, 47.43572941628534], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Grünaustrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 10;Erweiterte Blaue Zone;10.0
47.43882322354914,9.385984963533;"{""coordinates"": [9.385984963533, 47.43882322354914], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lessingstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.44127810546445,9.377938579840249;"{""coordinates"": [9.377938579840249, 47.44127810546445], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Fliederstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.434124822179825,9.379081925369757;"{""coordinates"": [9.379081925369757, 47.434124822179825], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Wartensteinstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43666804206677,9.378790614657001;"{""coordinates"": [9.378790614657001, 47.43666804206677], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tannenstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.400696584706495,9.29948258843458;"{""coordinates"": [9.29948258843458, 47.400696584706495], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gsellstrasse;St.Gallen;Schweiz;9015;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.401529506953665,9.299397108065348;"{""coordinates"": [9.299397108065348, 47.401529506953665], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gsellstrasse;St.Gallen;Schweiz;9015;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.41888649335495,9.383687953749293;"{""coordinates"": [9.383687953749293, 47.41888649335495], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gessnerstrasse;St.Gallen;Schweiz;9011;Erweiterte Blaue Zone: 16;Erweiterte Blaue Zone;16.0
47.42889328702857,9.381143060582424;"{""coordinates"": [9.381143060582424, 47.42889328702857], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Notkerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.41460673902723,9.3648790255642;"{""coordinates"": [9.3648790255642, 47.41460673902723], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Fellenbergstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
47.43417433886545,9.392419875731271;"{""coordinates"": [9.392419875731271, 47.43417433886545], ""type"": ""Point""}";Parkplätze, Parkhäuser;Bahnhof St. Fiden;Untere Lindentalstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 4;Weiss (bewirtschaftet);4.0
47.4212143889094,9.368678733888963;"{""coordinates"": [9.368678733888963, 47.4212143889094], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kesslerstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.431158952759816,9.38205902501186;"{""coordinates"": [9.38205902501186, 47.431158952759816], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkplatz Olma Messen St. Gallen;Jägerstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 5;Weiss (bewirtschaftet);5.0
47.42196919902607,9.378897190456316;"{""coordinates"": [9.378897190456316, 47.42196919902607], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Felsenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.4258730927403,9.40386362041593;"{""coordinates"": [9.40386362041593, 47.4258730927403], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hardungstrasse;St.Gallen;Schweiz;9011;Ohne Markierung: 3;Ohne Markierung;3.0
47.42537099508772,9.37409815642959;"{""coordinates"": [9.37409815642959, 47.42537099508772], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hintere Poststrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.42917708182668,9.380739983154687;"{""coordinates"": [9.380739983154687, 47.42917708182668], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkplatz Spelterini;Sonnenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 55;Weiss (bewirtschaftet);55.0
47.427894094561644,9.370141709789124;"{""coordinates"": [9.370141709789124, 47.427894094561644], ""type"": ""Point""}";Parkplätze, Parkhäuser;Bei Tigerbergstrasse 29;Höhenweg;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43479843727093,9.412642461434087;"{""coordinates"": [9.412642461434087, 47.43479843727093], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Oberhaldenstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43990395865916,9.392777209362142;"{""coordinates"": [9.392777209362142, 47.43990395865916], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kolumbanstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.41532419636227,9.375877749168911;"{""coordinates"": [9.375877749168911, 47.41532419636227], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Demutstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 11;Erweiterte Blaue Zone;11.0
47.41640644243739,9.344834592539998;"{""coordinates"": [9.344834592539998, 47.41640644243739], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Rechenstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.43258754926512,9.374409031033277;"{""coordinates"": [9.374409031033277, 47.43258754926512], ""type"": ""Point""}";Parkplätze, Parkhäuser;Uni;Guisanstrasse;St.Gallen;Schweiz;9010;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.41331246280785,9.340350433927858;"{""coordinates"": [9.340350433927858, 47.41331246280785], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lerchenfeldstrasse;St.Gallen;Schweiz;9014;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.43755279633652,9.372252193660543;"{""coordinates"": [9.372252193660543, 47.43755279633652], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Waldgutstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42690817247071,9.373709716196494;"{""coordinates"": [9.373709716196494, 47.42690817247071], ""type"": ""Point""}";Parkplätze, Parkhäuser;Grabenhalle West;Unterer Graben;St.Gallen;Schweiz;9000;Invalidenparkplatz: 1;Invalidenparkplatz;1.0
47.4428984164675,9.382035168351871;"{""coordinates"": [9.382035168351871, 47.4428984164675], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kirchlistrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.423399417811936,9.383784477822703;"{""coordinates"": [9.383784477822703, 47.423399417811936], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Obere Wildeggstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43768211178032,9.418357242329357;"{""coordinates"": [9.418357242329357, 47.43768211178032], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Reherstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.43645393126886,9.415121232746014;"{""coordinates"": [9.415121232746014, 47.43645393126886], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Reherstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.424275213750434,9.366089024246888;"{""coordinates"": [9.366089024246888, 47.424275213750434], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Melchtalstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42822463903733,9.371718121002296;"{""coordinates"": [9.371718121002296, 47.42822463903733], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tigerbergstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 7;Erweiterte Blaue Zone;7.0
47.4411370409555,9.386955723572397;"{""coordinates"": [9.386955723572397, 47.4411370409555], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Goethestrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.43877429940713,9.385294465017157;"{""coordinates"": [9.385294465017157, 47.43877429940713], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Goethestrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.43461696429895,9.381213881178658;"{""coordinates"": [9.381213881178658, 47.43461696429895], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Goethestrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 7;Erweiterte Blaue Zone;7.0
47.430432002987594,9.38718596569397;"{""coordinates"": [9.38718596569397, 47.430432002987594], ""type"": ""Point""}";Parkplätze, Parkhäuser;Nordseite, Kantonsspital-Areal: Besucher;Rorschacher Strasse;St.Gallen;Schweiz;9000;Invalidenparkplatz: 1;Invalidenparkplatz;1.0
47.4260523652025,9.370878097184939;"{""coordinates"": [9.370878097184939, 47.4260523652025], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Zwinglistrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 7;Erweiterte Blaue Zone;7.0
47.430315940303096,9.38403957718805;"{""coordinates"": [9.38403957718805, 47.430315940303096], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Bürglistrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.4101876276787,9.366193630833518;"{""coordinates"": [9.366193630833518, 47.4101876276787], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Im Grund;St.Gallen;Schweiz;9012;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.41343277415969,9.366551101861948;"{""coordinates"": [9.366551101861948, 47.41343277415969], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Obere Berneggstrasse;St.Gallen;Schweiz;9012;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.442992373808515,9.416289617431431;"{""coordinates"": [9.416289617431431, 47.442992373808515], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkanlage Aldi (Eröffnung	14.05.2007);Lerchentalstrasse;St.Gallen;Schweiz;9016;Kundenparkplatz: 12;Kundenparkplatz;12.0
47.40601241436132,9.30552759551468;"{""coordinates"": [9.30552759551468, 47.40601241436132], ""type"": ""Point""}";Parkplätze, Parkhäuser;Westcenter Kurz-Parking;Herisauer Strasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 5;Weiss (bewirtschaftet);5.0
47.4208399863686,9.370640100956907;"{""coordinates"": [9.370640100956907, 47.4208399863686], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Davidstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.4180282765558,9.383936607299644;"{""coordinates"": [9.383936607299644, 47.4180282765558], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gessnerstrasse;St.Gallen;Schweiz;9011;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.422452131097096,9.370489070975822;"{""coordinates"": [9.370489070975822, 47.422452131097096], ""type"": ""Point""}";Parkplätze, Parkhäuser;Hauptpost, vis-à-vis Neumarkt 1 und 2;St.Leonhard-Strasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.44304250696431,9.406305368754387;"{""coordinates"": [9.406305368754387, 47.44304250696431], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Zilstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
47.42321015919487,9.36759436881565;"{""coordinates"": [9.36759436881565, 47.42321015919487], ""type"": ""Point""}";Parkplätze, Parkhäuser;Cityparking Bahnhof (Fachhochschulzentrum);Rosenbergstrasse;St.Gallen;Schweiz;9000;Unterirdisch, Garage: 27;Unterirdisch, Garage;27.0
47.43764844311781,9.392413499656445;"{""coordinates"": [9.392413499656445, 47.43764844311781], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kolosseumstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.440402318191914,9.392255507685912;"{""coordinates"": [9.392255507685912, 47.440402318191914], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Langgasse;St.Gallen;Schweiz;9008;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.441952085801105,9.377417458093706;"{""coordinates"": [9.377417458093706, 47.441952085801105], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schlatterstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.43635816875871,9.373973875403003;"{""coordinates"": [9.373973875403003, 47.43635816875871], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Waldgutstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43627517150151,9.37425188130001;"{""coordinates"": [9.37425188130001, 47.43627517150151], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Waldgutstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.42470022756217,9.382604070409238;"{""coordinates"": [9.382604070409238, 47.42470022756217], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Linsebühlstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.43568520995741,9.386810942114417;"{""coordinates"": [9.386810942114417, 47.43568520995741], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Farbgutstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.40915543124865,9.334751929129553;"{""coordinates"": [9.334751929129553, 47.40915543124865], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Obere Friedhofstrasse;St.Gallen;Schweiz;9014;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42358240191158,9.38428433155169;"{""coordinates"": [9.38428433155169, 47.42358240191158], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Obere Wildeggstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.4162602673538,9.36143890476643;"{""coordinates"": [9.36143890476643, 47.4162602673538], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Wagnerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42784697285725,9.37156283693655;"{""coordinates"": [9.37156283693655, 47.42784697285725], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Dufourstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.423406454814376,9.366583452928644;"{""coordinates"": [9.366583452928644, 47.423406454814376], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Greifenstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 9;Erweiterte Blaue Zone;9.0
47.42914083529652,9.374059993994477;"{""coordinates"": [9.374059993994477, 47.42914083529652], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Dierauerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.425166779268366,9.366481062528331;"{""coordinates"": [9.366481062528331, 47.425166779268366], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Dufourstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 10;Erweiterte Blaue Zone;10.0
47.4371370451618,9.39598920870769;"{""coordinates"": [9.39598920870769, 47.4371370451618], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Heiligkreuzstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.438393945276516,9.38097393143493;"{""coordinates"": [9.38097393143493, 47.438393945276516], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Peter-und-Paul-Strasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.43263862893595,9.401218791987246;"{""coordinates"": [9.401218791987246, 47.43263862893595], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Falkensteinstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.4185555274218,9.372422845199084;"{""coordinates"": [9.372422845199084, 47.4185555274218], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schneebergstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 7;Erweiterte Blaue Zone;7.0
47.42109197398483,9.35364908115488;"{""coordinates"": [9.35364908115488, 47.42109197398483], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gerbeweg;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.422711187930084,9.354420019752943;"{""coordinates"": [9.354420019752943, 47.422711187930084], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Feldlistrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.411502672097846,9.338961597258445;"{""coordinates"": [9.338961597258445, 47.411502672097846], ""type"": ""Point""}";Parkplätze, Parkhäuser;Otto's;Fürstenlandstrasse;St.Gallen;Schweiz;9014;Kundenparkplatz: 3;Kundenparkplatz;3.0
47.42509086503335,9.38202622696429;"{""coordinates"": [9.38202622696429, 47.42509086503335], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Konkordiastrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42109090044608,9.363196631253368;"{""coordinates"": [9.363196631253368, 47.42109090044608], ""type"": ""Point""}";Parkplätze, Parkhäuser;Reithalle Kreuzbleiche;Militärstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 5;Weiss (bewirtschaftet);5.0
47.41673030795717,9.381892373559953;"{""coordinates"": [9.381892373559953, 47.41673030795717], ""type"": ""Point""}";Parkplätze, Parkhäuser;;St.Georgen-Strasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.41674444408271,9.391836334248225;"{""coordinates"": [9.391836334248225, 47.41674444408271], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kammelenbergstrasse;St.Gallen;Schweiz;9011;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.437808103019364,9.378145236833149;"{""coordinates"": [9.378145236833149, 47.437808103019364], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Guisanstrasse;St.Gallen;Schweiz;9010;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42649463859868,9.359476111529478;"{""coordinates"": [9.359476111529478, 47.42649463859868], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Paul-Brandt-Strasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.422045956767874,9.354639007058974;"{""coordinates"": [9.354639007058974, 47.422045956767874], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Rosenfeldstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.42987446273742,9.38438908054491;"{""coordinates"": [9.38438908054491, 47.42987446273742], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkgarage Athletik-Zentrum (Cityparking Stadtpark);Steinachstrasse;St.Gallen;Schweiz;9000;Unterirdisch, Garage: 53;Unterirdisch, Garage;53.0
47.43733578669572,9.405697481925573;"{""coordinates"": [9.405697481925573, 47.43733578669572], ""type"": ""Point""}";Parkplätze, Parkhäuser;Post Neudorf;Rorschacher Strasse;St.Gallen;Schweiz;9016;Kundenparkplatz: 14;Kundenparkplatz;14.0
47.433482650639625,9.38160903671549;"{""coordinates"": [9.38160903671549, 47.433482650639625], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lessingstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
47.43391979789536,9.384358514723566;"{""coordinates"": [9.384358514723566, 47.43391979789536], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Langgasse;St.Gallen;Schweiz;9008;Güterumschlag: 3;Güterumschlag;3.0
47.43595590798557,9.386981534601711;"{""coordinates"": [9.386981534601711, 47.43595590798557], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Langgasse;St.Gallen;Schweiz;9008;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.442083330111494,9.406887301970315;"{""coordinates"": [9.406887301970315, 47.442083330111494], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Oberzilstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.40491131490873,9.300818042314106;"{""coordinates"": [9.300818042314106, 47.40491131490873], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Industriestrasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.40503173395892,9.300254835754291;"{""coordinates"": [9.300254835754291, 47.40503173395892], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Industriestrasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.41830753476274,9.366501986353832;"{""coordinates"": [9.366501986353832, 47.41830753476274], ""type"": ""Point""}";Parkplätze, Parkhäuser;Bei Unterstr 45;Geltenwilenstich;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.42568934482121,9.406162047537563;"{""coordinates"": [9.406162047537563, 47.42568934482121], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Huebstrasse;St.Gallen;Schweiz;9011;Ohne Markierung: 1;Ohne Markierung;1.0
47.40282523769267,9.326472236646326;"{""coordinates"": [9.326472236646326, 47.40282523769267], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hinterberg;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.42814248264346,9.395382673242237;"{""coordinates"": [9.395382673242237, 47.42814248264346], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Birnbäumenstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.428713010612235,9.396295297681934;"{""coordinates"": [9.396295297681934, 47.428713010612235], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Birnbäumenstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42745026481291,9.372542467383367;"{""coordinates"": [9.372542467383367, 47.42745026481291], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Redingstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.43715615488048,9.403999292484283;"{""coordinates"": [9.403999292484283, 47.43715615488048], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Brauerstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.407414059533494,9.295699752521713;"{""coordinates"": [9.295699752521713, 47.407414059533494], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Zürcher Strasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 6;Weiss (bewirtschaftet);6.0
47.41826950122266,9.362630965403222;"{""coordinates"": [9.362630965403222, 47.41826950122266], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Paradiesstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
