Geo Point;Geo Shape;Kategorie;Bezeichnung;Adresse;Ort;Land;PLZ;Information;Parkplatzart;Anzahl_Parkplätze
47.43331876828226,9.39920221225478;"{""coordinates"": [9.39920221225478, 47.43331876828226], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Rorschacher Strasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.43495946855755,9.385618866680346;"{""coordinates"": [9.385618866680346, 47.43495946855755], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Langgasse;St.Gallen;Schweiz;9008;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.4013695240045,9.301561294572778;"{""coordinates"": [9.301561294572778, 47.4013695240045], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Blériotweg;St.Gallen;Schweiz;9015;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.404943262375255,9.300668775138005;"{""coordinates"": [9.300668775138005, 47.404943262375255], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Industriestrasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42996590335977,9.392104319162508;"{""coordinates"": [9.392104319162508, 47.42996590335977], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Falkensteinstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.437986675204286,9.4060838051578;"{""coordinates"": [9.4060838051578, 47.437986675204286], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lindenstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43612514281845,9.384475488454642;"{""coordinates"": [9.384475488454642, 47.43612514281845], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schubertstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.42882746308221,9.393538431175543;"{""coordinates"": [9.393538431175543, 47.42882746308221], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Grossackerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
47.42262350488346,9.353270675510998;"{""coordinates"": [9.353270675510998, 47.42262350488346], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Feldlistrasse;St.Gallen;Schweiz;9000;Invalidenparkplatz: 1;Invalidenparkplatz;1.0
47.41617604976979,9.358228272331942;"{""coordinates"": [9.358228272331942, 47.41617604976979], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Zschokkestrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43115286990727,9.399474713293761;"{""coordinates"": [9.399474713293761, 47.43115286990727], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Rappensteinstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.428615358827,9.390931316752159;"{""coordinates"": [9.390931316752159, 47.428615358827], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Bedastrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42829367176387,9.390039209716948;"{""coordinates"": [9.390039209716948, 47.42829367176387], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Bedastrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
