Geo Point;Geo Shape;Wärmeversorgung
47.4054873203233,9.297348426676788;"{""coordinates"": [[[9.298875866936612, 47.404730895952156], [9.298746887499563, 47.404484700074306], [9.295788020245077, 47.40518190839377], [9.294875028161737, 47.40534866116444], [9.295243123561807, 47.40595174036733], [9.296072124510792, 47.406011144271204], [9.29711024053809, 47.40637528785356], [9.299467740335139, 47.40575501170513], [9.2992518909197, 47.405364757107996], [9.299112347005167, 47.40517698534007], [9.298875866936612, 47.404730895952156]]], ""type"": ""Polygon""}";Anergie Ergänzungsgebiet
47.40364566592585,9.294384812289067;"{""coordinates"": [[[9.295924121763568, 47.404025931971006], [9.29561284535173, 47.40354533987394], [9.296564318640067, 47.40348243130842], [9.296818010771883, 47.40311654022458], [9.293924638426283, 47.402991647416144], [9.292770893973413, 47.40318939331118], [9.292370326792131, 47.40360035712656], [9.292115037054346, 47.404022933539075], [9.292187987216964, 47.40427457863573], [9.294291874609229, 47.40387125643027], [9.294653152103724, 47.40457956423473], [9.295587632570168, 47.40443124365597], [9.295924121763568, 47.404025931971006]]], ""type"": ""Polygon""}";Anergie Ergänzungsgebiet
47.402947630144205,9.296253003474657;"{""coordinates"": [[[9.299116565729966, 47.40313055685091], [9.296504457516097, 47.40247240016736], [9.295044004213215, 47.402749143992544], [9.293947519825561, 47.40276676775528], [9.293858975747373, 47.4026351917927], [9.293673768911328, 47.402359952541886], [9.293549211237389, 47.402390858931945], [9.292770893973413, 47.40318939331118], [9.293924638426283, 47.402991647416144], [9.296818010771883, 47.40311654022458], [9.298385262017089, 47.40354450208275], [9.298930672983367, 47.403461246021166], [9.299116565729966, 47.40313055685091]]], ""type"": ""Polygon""}";dezentral erneuerbar, ausserhalb Bauzone
47.43815060316157,9.395162009072543;"{""coordinates"": [[[9.395528345489105, 47.43793245762535], [9.395748786283374, 47.43758740268043], [9.395878004653758, 47.43743119754573], [9.395689613518178, 47.43748018123875], [9.395474494919247, 47.4373886902199], [9.395093780167873, 47.4377941182716], [9.395056992190023, 47.43779474090088], [9.394912588133602, 47.438038615521826], [9.39482090499569, 47.43821499402433], [9.394686157261077, 47.43838793560321], [9.394633880170769, 47.438467911556174], [9.39460060860761, 47.43856421008512], [9.394524731450153, 47.438669551575636], [9.394996123967674, 47.43886731489811], [9.395291951468971, 47.438510890717126], [9.395399566766812, 47.438267638398294], [9.395528345489105, 47.43793245762535]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.41609661778938,9.386697658838825;"{""coordinates"": [[[9.38588795578092, 47.41647814467606], [9.386034978049457, 47.41629689860476], [9.38682518011075, 47.41629847716311], [9.386896957788974, 47.41646114547706], [9.387454898343274, 47.41644690545379], [9.387976151531053, 47.41601791263703], [9.389120475926092, 47.4157458157447], [9.389896427391037, 47.41565822941442], [9.390140158347974, 47.415721158236835], [9.390725020500383, 47.41551016194369], [9.390738767966814, 47.41528647335314], [9.389964460311294, 47.41541872536264], [9.38905364728286, 47.4154191954518], [9.388457953229151, 47.41533676992716], [9.388195195668999, 47.415899002726654], [9.38702536654839, 47.41575404616292], [9.386822535596156, 47.4159940486582], [9.385648142983667, 47.415878646954], [9.384342365720094, 47.41625551562711], [9.383357976186215, 47.416599996964045], [9.38376771790513, 47.41731829447478], [9.384070194349956, 47.41665721212536], [9.38588795578092, 47.41647814467606]]], ""type"": ""Polygon""}";dezentral erneuerbar, ausserhalb Bauzone
47.434858445341064,9.382264158697648;"{""coordinates"": [[[9.383976089549787, 47.43636993120679], [9.384423424391096, 47.43578305985979], [9.384464406545352, 47.43572927965976], [9.384068307925164, 47.435642937463406], [9.384067175205304, 47.435611953432165], [9.383873132337447, 47.43555322185902], [9.38381901614103, 47.435572729000874], [9.383560821059344, 47.4355088686348], [9.383301707792592, 47.435420227873884], [9.383218615779244, 47.435396830479945], [9.383002451371446, 47.4352330537187], [9.383052944803483, 47.435114399808285], [9.38286282780986, 47.4349129827264], [9.382715585313502, 47.434884465158426], [9.382580931067608, 47.434700720255606], [9.382759048173643, 47.43457372123843], [9.382366446181136, 47.43433230809837], [9.382010821088885, 47.43410267861703], [9.381869995851716, 47.433999639302606], [9.38216479319084, 47.43381487213533], [9.381876716443136, 47.43368331457325], [9.381620555927833, 47.43367522318425], [9.381578007730644, 47.43326050954828], [9.381194229000366, 47.433260761182254], [9.381229322888446, 47.43347098520383], [9.381088857308816, 47.43362836126326], [9.380277984813445, 47.43331800927876], [9.38070612168191, 47.43390760344056], [9.381036980065527, 47.43446006345931], [9.381415132544893, 47.43502496199984], [9.381622227469734, 47.435306203758856], [9.382808034731825, 47.435664150232014], [9.382879418421563, 47.43586755553501], [9.383129329372741, 47.43620436771036], [9.38336519012909, 47.436156999127945], [9.383505117981818, 47.43623524752409], [9.383461037429937, 47.436279389894224], [9.383795251277302, 47.43642257396067], [9.383976089549787, 47.43636993120679]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.41499465555286,9.3619935985732;"{""coordinates"": [[[9.363595545510249, 47.41532060156789], [9.362574835169612, 47.41496938800254], [9.361666245078917, 47.41481998796105], [9.361734731606067, 47.41469928021304], [9.361397138870105, 47.41435283435224], [9.360991674709755, 47.414366832273885], [9.360727728637396, 47.41430596025902], [9.360395742696737, 47.414579794805626], [9.36083823692287, 47.41485163309742], [9.36122876387024, 47.41501555375135], [9.36127523867085, 47.41497126277426], [9.361436188723358, 47.41499033888994], [9.361469593597853, 47.41495226621147], [9.361633067825942, 47.414968933881156], [9.361884160995931, 47.41526570784895], [9.362059949129652, 47.41525190462445], [9.362590997564874, 47.415460615962544], [9.362892700239632, 47.41553173223752], [9.362847667005413, 47.41561588283148], [9.363275063896596, 47.415764670836246], [9.363320630765612, 47.4157015277891], [9.363595545510249, 47.41532060156789]]], ""type"": ""Polygon""}";Wärmeverbunde
47.415517403828446,9.350654431929266;"{""coordinates"": [[[9.352398929553225, 47.41674591477842], [9.35298847824115, 47.41631742892892], [9.353103046675278, 47.4163876401845], [9.35322452822784, 47.416462100235556], [9.35348005064644, 47.41643245917017], [9.353511571953351, 47.41642880592441], [9.353605013733917, 47.41641797269346], [9.353654968554618, 47.41636851706754], [9.353953264251448, 47.41628252080139], [9.354072527140678, 47.41624813738723], [9.35454284187368, 47.416156588903846], [9.354873230156093, 47.41607847010789], [9.354800409647002, 47.41603248044366], [9.354773310918702, 47.41601537704106], [9.354589300835883, 47.41589917557034], [9.353791533266284, 47.415407238939416], [9.353247666521332, 47.415121561488185], [9.353138426484112, 47.41506418152099], [9.352581759090393, 47.414857291232025], [9.35188315823405, 47.414688870739504], [9.351313116423013, 47.41455143532626], [9.349284817861971, 47.414000038477845], [9.34873291166713, 47.41425240985922], [9.347501219355653, 47.41481559498589], [9.346764971670718, 47.415346222631754], [9.347237286043413, 47.415552509693285], [9.34832842497937, 47.416069115935024], [9.349227375121814, 47.41636706510121], [9.350213078606723, 47.41672267222853], [9.35039245897548, 47.41650899061864], [9.350771214263906, 47.4166439463533], [9.351428578466145, 47.41687814828714], [9.351840213183989, 47.41692536832908], [9.352072473336628, 47.41685398356639], [9.352341359242114, 47.41676497880319], [9.352398929553225, 47.41674591477842]]], ""type"": ""Polygon""}";dezentral erneuerbar, ausserhalb Bauzone
47.43488018742946,9.416408097228112;"{""coordinates"": [[[9.416568230548757, 47.43387194705613], [9.415791350663605, 47.43387644852026], [9.415398055296388, 47.43392271683742], [9.415490994917747, 47.43415839437542], [9.415447065484978, 47.43437005168617], [9.415043675299566, 47.43466693882028], [9.41545214620874, 47.43502903472463], [9.415666253594528, 47.435214308305355], [9.415894288016792, 47.43542570426654], [9.416046555185352, 47.43551537199733], [9.416509954169605, 47.435612887654806], [9.417040198040537, 47.43576638790662], [9.417165595035774, 47.435830153095814], [9.41739184198267, 47.435993245297155], [9.417580980825438, 47.436029548859565], [9.41782128547103, 47.43570028545799], [9.417522793539263, 47.43533631486448], [9.417010320882884, 47.43461572400253], [9.416597863556081, 47.43397249352133], [9.416568230548757, 47.43387194705613]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.4321021669194,9.39570413616693;"{""coordinates"": [[[9.396440277659565, 47.432698875731525], [9.396531198637115, 47.43255263883759], [9.396669633513978, 47.43257597088965], [9.39677360902393, 47.4325041957437], [9.396842182944093, 47.43249837361409], [9.396556144998877, 47.43241405117812], [9.39677113157461, 47.431964082945164], [9.396714165918093, 47.43182376096701], [9.396471769972685, 47.43173555911166], [9.395954244034305, 47.43154724756479], [9.394981749661236, 47.43128833563057], [9.394669158151839, 47.43120493492985], [9.39473098667562, 47.431577285997776], [9.395012596129835, 47.432314636169714], [9.395128661608197, 47.432743702914], [9.396018459275737, 47.432961162279945], [9.396127318288926, 47.432792849524354], [9.396440277659565, 47.432698875731525]]], ""type"": ""Polygon""}";Fernwärme Ausbau 2020 bis 2025
47.42893672220753,9.393483438704683;"{""coordinates"": [[[9.39379080401268, 47.429357802313184], [9.394516553116564, 47.42888853524074], [9.394257236972589, 47.42881277906659], [9.39352819925223, 47.42859950669573], [9.39291252852101, 47.428564727396086], [9.392713397788539, 47.42879743381058], [9.392665750874285, 47.42905245520566], [9.39287684779766, 47.429145602505805], [9.392946938670498, 47.429169284725134], [9.393408202944952, 47.4293106974854], [9.39347412243997, 47.42922116121961], [9.393568748458227, 47.42924719912435], [9.393576478072408, 47.42923601121455], [9.39379080401268, 47.429357802313184]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.43987442299715,9.388192259410172;"{""coordinates"": [[[9.387934614886673, 47.439403060834834], [9.38774702283658, 47.43940038500194], [9.387293594304722, 47.43994961163776], [9.388474423724873, 47.44032014529008], [9.388710234325075, 47.440413594389995], [9.388941401644944, 47.44015674859728], [9.389075583381013, 47.44004588393351], [9.388625310961299, 47.43987081736173], [9.388850486433094, 47.43969983059687], [9.388519940162, 47.439553458971226], [9.388193067154099, 47.43942368661554], [9.387934614886673, 47.439403060834834]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.40717969285184,9.326908953624226;"{""coordinates"": [[[9.327600804018566, 47.40693355264867], [9.326506706107127, 47.40633729044886], [9.326276099278363, 47.40653492972068], [9.326014109245417, 47.40670602793934], [9.32499853584699, 47.40683383234306], [9.325161088587251, 47.4070080992948], [9.325323091975234, 47.407167206468294], [9.32579873635041, 47.407351527733546], [9.326272771681417, 47.40749036777939], [9.326762732222866, 47.407659282718214], [9.32786407296497, 47.40784851887613], [9.32819402532153, 47.40791389146068], [9.328462993629065, 47.40781210220805], [9.328451594287747, 47.4074909333365], [9.328063029164909, 47.40695054639293], [9.327600804018566, 47.40693355264867]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.42918484471804,9.381416516393108;"{""coordinates"": [[[9.380735307253847, 47.42850133531995], [9.380397197629172, 47.42846417331044], [9.380369323456673, 47.42882486631136], [9.381310602796905, 47.42927217934459], [9.381157230936106, 47.42940764958006], [9.38215063678864, 47.429897912513105], [9.38251490045559, 47.42954443636224], [9.382334482312737, 47.42945043061088], [9.381144688518765, 47.42876105909549], [9.380735307253847, 47.42850133531995]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.436234336575666,9.403248139728865;"{""coordinates"": [[[9.403334495158772, 47.436995796342664], [9.4037391112495, 47.43672235876192], [9.404062062473846, 47.436751074262304], [9.404567159377837, 47.4371474170431], [9.404778576177518, 47.43708016824889], [9.405177187165904, 47.43686867230328], [9.40470654943565, 47.43657205236572], [9.40362794546749, 47.43583631856701], [9.40247036674464, 47.43516265481139], [9.4022164683715, 47.4353782600977], [9.401945610397796, 47.43540666671633], [9.401607945078695, 47.435763513933516], [9.402331547353292, 47.436120194753045], [9.402422506016228, 47.43644595619724], [9.402873295477262, 47.43677750651823], [9.403155307229353, 47.43717388518416], [9.403300705609944, 47.437262939369376], [9.403535740970463, 47.4371256645548], [9.403334495158772, 47.436995796342664]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.42656531968814,9.36556212796804;"{""coordinates"": [[[9.366963868961609, 47.42661572998832], [9.365744234090949, 47.42593838840128], [9.3656108831024, 47.42556903454921], [9.364267507415525, 47.426429586261996], [9.363897429330233, 47.42643517599977], [9.364540575955749, 47.426680698425514], [9.364945857825843, 47.426952863134986], [9.36574110644585, 47.42748689053501], [9.366963868961609, 47.42661572998832]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
47.411595748677655,9.364267787743728;"{""coordinates"": [[[9.36502179327879, 47.412145336252635], [9.36583545903394, 47.41176042223383], [9.366413968203158, 47.411894963899634], [9.36661458547817, 47.41125980321598], [9.366257317719503, 47.41081791878183], [9.366193622181449, 47.410853457408976], [9.365478696073858, 47.41120459093374], [9.365309766618802, 47.411623980341105], [9.363725324936016, 47.4112040569962], [9.364398180599299, 47.41090124708238], [9.363095841568464, 47.41052422441864], [9.36297968019528, 47.41070588026491], [9.362569106515677, 47.41098884907957], [9.362844391500962, 47.41123183098671], [9.362391036479913, 47.41148416651066], [9.362565884171001, 47.41161449841174], [9.363069865649937, 47.41218048180688], [9.36367457537434, 47.412523237590484], [9.364210181237924, 47.41279329585773], [9.36438933474405, 47.412498659243795], [9.364463464159744, 47.41222129243243], [9.36502179327879, 47.412145336252635]]], ""type"": ""Polygon""}";Wärmeverbunde
47.436968378507224,9.388978780767497;"{""coordinates"": [[[9.38961695196267, 47.437202167466936], [9.389340210193021, 47.43692687405098], [9.388757445362982, 47.436470040606366], [9.388564791388594, 47.436557645045134], [9.388665237952093, 47.43664815025888], [9.388572425460866, 47.436722554396454], [9.388419387192705, 47.436790497949694], [9.38843215429161, 47.4368103365661], [9.388360065657125, 47.436834404490405], [9.388614700574566, 47.437119564763506], [9.388807548623069, 47.437097265111724], [9.388885795178195, 47.4371645099595], [9.388979433951544, 47.437253015508794], [9.389230876805195, 47.43743720276287], [9.38961695196267, 47.437202167466936]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.438186038701275,9.397191789931991;"{""coordinates"": [[[9.397323951891575, 47.43737759203755], [9.397260797288743, 47.43732871152722], [9.396114489907687, 47.43814495392191], [9.396682007384253, 47.438540138233], [9.397111634952196, 47.43894215450147], [9.397784638535422, 47.43865393492713], [9.398265274336042, 47.4384480909614], [9.397857821019246, 47.43806608991299], [9.397323951891575, 47.43737759203755]]], ""type"": ""Polygon""}";dezentral erneuerbar, ausserhalb Bauzone
47.44080527801375,9.376760337041803;"{""coordinates"": [[[9.379527308934733, 47.44260227631504], [9.380030524055213, 47.44216920473838], [9.376706255321842, 47.43891608471674], [9.376449932308326, 47.43900323336598], [9.375942543640498, 47.438483553361806], [9.375916806780312, 47.43830658569279], [9.375520272091666, 47.43835045922324], [9.37552464101147, 47.43838305341348], [9.37540752448509, 47.43838924418145], [9.375082536715055, 47.43839360906591], [9.375061107096846, 47.438402335068744], [9.374508552650347, 47.43862711711859], [9.374522088049218, 47.43863467267918], [9.374551552917163, 47.43862628904546], [9.374823969869578, 47.43854700816458], [9.374821390017672, 47.43855409587018], [9.374829522746095, 47.43855530017636], [9.37483805790961, 47.43856392010213], [9.374858508581386, 47.4385559842646], [9.374871374916603, 47.438550982460605], [9.374889227948863, 47.438572239762266], [9.374901245868141, 47.43858655930067], [9.374909861112704, 47.43858316715069], [9.374921218584053, 47.43858917570864], [9.37488912905709, 47.4386475086547], [9.374870686263556, 47.438670174615574], [9.374839725248549, 47.438723810306335], [9.374864534651016, 47.43873034029284], [9.37484466596967, 47.43877650278317], [9.374819593329253, 47.43881485324022], [9.374814544241735, 47.43882259408475], [9.374813878501621, 47.438823612876845], [9.374780690745657, 47.43883391227049], [9.374438069613811, 47.439077921461234], [9.374924104328684, 47.44106634154632], [9.3745543040249, 47.441297049806984], [9.374853367039151, 47.441674872804306], [9.37596949839397, 47.44245927266758], [9.376030134505676, 47.44246996134393], [9.376096066966687, 47.4424920771222], [9.376293395245979, 47.44231829868304], [9.37780689640831, 47.44266174504198], [9.378233120168721, 47.44235791644478], [9.378616046049872, 47.44248779277498], [9.37913594531665, 47.44275383856781], [9.379527308934733, 47.44260227631504]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.43386483566501,9.379479226468744;"{""coordinates"": [[[9.38070612168191, 47.43390760344056], [9.380277984813445, 47.43331800927876], [9.380112821240417, 47.433366163615254], [9.377968374778987, 47.4325477437049], [9.378122104325383, 47.43285056157435], [9.378357417227214, 47.43358402876161], [9.378434632357052, 47.43389557955816], [9.37834868390198, 47.43485045123887], [9.378560929026206, 47.43495117153699], [9.379258337276147, 47.434225557946306], [9.379784432183259, 47.433740638972985], [9.379973711743919, 47.43388028477494], [9.380057413134672, 47.434491841871115], [9.380471681081156, 47.43478838215279], [9.380988322646893, 47.435005846054466], [9.381415132544893, 47.43502496199984], [9.381036980065527, 47.43446006345931], [9.38070612168191, 47.43390760344056]]], ""type"": ""Polygon""}";Wärmeverbunde
47.44004080252537,9.412410018644;"{""coordinates"": [[[9.410264802827426, 47.43909542555157], [9.409807380869205, 47.43910175088738], [9.410792532125745, 47.43954631802804], [9.413232182998506, 47.44146853330507], [9.414211749493832, 47.44085885634841], [9.413721205941135, 47.440555270760534], [9.413701957658306, 47.440467214023144], [9.413619774341395, 47.44009125189092], [9.413444167497213, 47.43973383585708], [9.413388568438336, 47.439620677881805], [9.413040719470947, 47.43938762575039], [9.412870542920684, 47.43927361740851], [9.412067126252156, 47.439089601696224], [9.411885321751532, 47.439088197776414], [9.41117963283033, 47.439082760684265], [9.410264802827426, 47.43909542555157]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.408997310442736,9.343612738353226;"{""coordinates"": [[[9.344048610610168, 47.40884949814284], [9.34357287022494, 47.408676561424], [9.343161043459446, 47.408526365753744], [9.342930971705844, 47.4083636543825], [9.342283469109327, 47.40887384525561], [9.342336242651333, 47.408977635435946], [9.342681501508636, 47.4088339801155], [9.344364185183935, 47.40963875574049], [9.3447907638784, 47.40924854491928], [9.344612622967002, 47.40913989649134], [9.344048610610168, 47.40884949814284]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
47.41680304986518,9.350819936037086;"{""coordinates"": [[[9.350771214263906, 47.4166439463533], [9.35039245897548, 47.41650899061864], [9.350213078606723, 47.41672267222853], [9.351229497893623, 47.41709756467777], [9.351428578466145, 47.41687814828714], [9.350771214263906, 47.4166439463533]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.41032844434744,9.332470030769343;"{""coordinates"": [[[9.33372519117611, 47.41166923558313], [9.334011594773507, 47.411275886385944], [9.334460437306744, 47.411419128400794], [9.334830966753245, 47.41087691258094], [9.334002005930547, 47.41064057500004], [9.334410634660012, 47.41002122682433], [9.332824833994522, 47.409616326997096], [9.331691756341556, 47.40932254815656], [9.330806728646197, 47.40914496498303], [9.330528211534203, 47.40885128329849], [9.330233933756855, 47.40867568062895], [9.330049176065637, 47.40882268962481], [9.330427918594742, 47.409119985477886], [9.330615216030594, 47.40920370128711], [9.33037753319741, 47.409315509419926], [9.330646730210455, 47.40981268888797], [9.33058003886243, 47.40986411786862], [9.330536054759351, 47.409897775248794], [9.3306513380925, 47.41000799609733], [9.33060873415289, 47.41002902643922], [9.330541533663197, 47.4105301127917], [9.330599943024882, 47.41101613290516], [9.33156248286755, 47.41033080134421], [9.332179829341753, 47.41068131167578], [9.331823285339294, 47.41109200871445], [9.332953592938733, 47.41143201252605], [9.33372519117611, 47.41166923558313]]], ""type"": ""Polygon""}";Wärmeverbunde
47.417388427132536,9.364211076851205;"{""coordinates"": [[[9.363720112149215, 47.416845028336006], [9.363531545670522, 47.41680103528979], [9.363104151737536, 47.41724326791043], [9.364783217439953, 47.418027489829996], [9.364932414016673, 47.41786908768292], [9.365318355462513, 47.417528115017596], [9.364200894258692, 47.41699293265087], [9.363720112149215, 47.416845028336006]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.43334822611841,9.415285294871842;"{""coordinates"": [[[9.417811337357703, 47.43388943594092], [9.417973093434432, 47.4334891813824], [9.417815337664763, 47.43344367715862], [9.41722915722099, 47.43322769184138], [9.416889843121448, 47.43310265730346], [9.416724179496654, 47.43304161430124], [9.416571233696889, 47.4329852567643], [9.416243632898716, 47.432864563379674], [9.415600172366792, 47.43262751651719], [9.415250597078133, 47.43249873911507], [9.414512883941383, 47.4322330504346], [9.413943399110073, 47.43298231390672], [9.41357169623164, 47.4328649758435], [9.412983480859559, 47.43359489584715], [9.413572988983637, 47.433949515189624], [9.413972955859917, 47.43408329353467], [9.414516231466733, 47.43406521789296], [9.415398055296388, 47.43392271683742], [9.415791350663605, 47.43387644852026], [9.416568230548757, 47.43387194705613], [9.416879325269669, 47.433879794650984], [9.41747763560425, 47.4339486451801], [9.417763478903769, 47.43402193456785], [9.417791636323372, 47.43393763698089], [9.417811337357703, 47.43388943594092]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.43648708020858,9.410887173094645;"{""coordinates"": [[[9.411684118514602, 47.437145286307185], [9.412306038881328, 47.43660182707504], [9.413037132134503, 47.43683752170528], [9.413449922595387, 47.436486626115325], [9.413157060603377, 47.436351232212125], [9.412567166689985, 47.43637363293128], [9.412553993898106, 47.4362673164166], [9.41161697348295, 47.43590727879387], [9.411506399115858, 47.43595594104132], [9.411260524782207, 47.43594823436065], [9.41104382074755, 47.436017393849504], [9.410468777199348, 47.435884378801354], [9.410026414688849, 47.43625494031688], [9.409692451793868, 47.436236829667564], [9.409903156969024, 47.43576905909536], [9.409487772979766, 47.43572710009139], [9.409190612593907, 47.43573555819916], [9.409055552767217, 47.43657762268813], [9.409437681471433, 47.4370404946875], [9.410106601872664, 47.43702347400012], [9.410211651477146, 47.437019226157155], [9.410374071547691, 47.43701265010016], [9.4105576414743, 47.436979945877674], [9.410651837827578, 47.43707500170296], [9.411684118514602, 47.437145286307185]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.4382361664953,9.4074701324927;"{""coordinates"": [[[9.40826805782112, 47.437759813067025], [9.406768073725612, 47.437511649080676], [9.406560986317558, 47.437738972516], [9.40609670290996, 47.43814470919467], [9.406588945889961, 47.43845769009073], [9.406544339304753, 47.438484639426015], [9.406792255997692, 47.438642281732214], [9.40756106774741, 47.439094148827635], [9.408232017156513, 47.438781943772106], [9.408355883648488, 47.4385103582028], [9.4087569016503, 47.43829662269091], [9.408890322275084, 47.43822551344608], [9.40826805782112, 47.437759813067025]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.43818462664676,9.4023923416283;"{""coordinates"": [[[9.402650108054127, 47.43851516000646], [9.402872810336365, 47.43799006076617], [9.403138157755796, 47.43804982534258], [9.403319936621513, 47.4378376753767], [9.403177547433259, 47.437733554265705], [9.40269357636984, 47.437384557095925], [9.402432574746665, 47.43757071947271], [9.402002194645979, 47.437672029619364], [9.402238988868689, 47.43783094998037], [9.401996444083046, 47.43801680675517], [9.402114845450283, 47.438221606955196], [9.401932770423851, 47.438293633548994], [9.40159852121304, 47.438481172829974], [9.400972015051645, 47.4386427324391], [9.401079346535678, 47.43882934091705], [9.4013719627485, 47.438752209026035], [9.401378154768953, 47.43859975979644], [9.401611421471678, 47.43851561873565], [9.40280611375597, 47.439002866262705], [9.402650108054127, 47.43851516000646]]], ""type"": ""Polygon""}";Fernwärme Ausbau 2020 bis 2025
47.43163382958644,9.403149670740971;"{""coordinates"": [[[9.404501843087287, 47.432954454226376], [9.405116008860103, 47.43254175531207], [9.405526512804432, 47.43242411756214], [9.404988200012188, 47.43209703546076], [9.4050335311315, 47.43178085972888], [9.404379097520719, 47.43151526492325], [9.40438377411277, 47.43139383512608], [9.403941286293048, 47.43117157892345], [9.403935369364909, 47.431168611588284], [9.404017596866588, 47.43100157136522], [9.404131152071875, 47.43077128988941], [9.403705235097974, 47.43061450943216], [9.403491010545125, 47.43053896967773], [9.403281153911502, 47.430472550124954], [9.403234549372824, 47.43049695918458], [9.403230892848807, 47.4304955998264], [9.403220981683145, 47.430501157439636], [9.403073100307978, 47.4304413134386], [9.40292457362832, 47.43038121930953], [9.402677436652182, 47.43028753285997], [9.402699421517156, 47.4302509467293], [9.402658951783794, 47.43021130131291], [9.402624590639137, 47.430179820237086], [9.402385936905777, 47.4300975320572], [9.402379349440587, 47.43009543074351], [9.402379182144019, 47.43009520866331], [9.402369123376209, 47.43009173582058], [9.402356348754124, 47.4300725105573], [9.402255957333095, 47.430050644309546], [9.402187647189987, 47.43003764371613], [9.402095583213766, 47.43002011631453], [9.401958046769137, 47.430155085050146], [9.402132629240656, 47.430251598064864], [9.401994692086094, 47.4304860523739], [9.401736613616333, 47.43099610684262], [9.400615634960065, 47.43129696859574], [9.401194152097128, 47.431524799919856], [9.401458692386255, 47.4316308346535], [9.402006710559446, 47.43191443887988], [9.402404255152632, 47.43220335927976], [9.402014496033205, 47.43256643766686], [9.402023723288726, 47.43262678504844], [9.402281947204553, 47.43274147232412], [9.402624964189616, 47.43277638230837], [9.403875545899433, 47.43275202199539], [9.404356659832462, 47.432649841168995], [9.404501843087287, 47.432954454226376]]], ""type"": ""Polygon""}";Fernwärme Ausbau 2020 bis 2025
47.43397855870936,9.401458288723475;"{""coordinates"": [[[9.403140838484976, 47.43456868602917], [9.402872624062482, 47.434430418537204], [9.402665991491453, 47.43453509978656], [9.402451456811706, 47.43442567194097], [9.40290734504803, 47.43402684866659], [9.402441415272046, 47.43376119713598], [9.402316975791797, 47.433699757228624], [9.401806690949263, 47.43355644074383], [9.401473872993208, 47.43347642459466], [9.40107095595136, 47.43337273026933], [9.40126976151322, 47.43313171986139], [9.400678916588527, 47.433122398545024], [9.400186559022382, 47.43313350822321], [9.39933210073675, 47.433153520780756], [9.399282679476428, 47.43320523649978], [9.399447866171208, 47.43330139111882], [9.4005583735933, 47.43396606759949], [9.40247036674464, 47.43516265481139], [9.402879830454102, 47.43485628090827], [9.403140838484976, 47.43456868602917]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.43221505082073,9.397808553907511;"{""coordinates"": [[[9.398829540228833, 47.432512550530106], [9.398764903055843, 47.432424379586706], [9.398925729940922, 47.43226692362915], [9.399174872020685, 47.43236386793809], [9.399342283127828, 47.43221025832304], [9.399134596988922, 47.432116767780755], [9.399192767259368, 47.43203263184871], [9.39894918026814, 47.43195111301066], [9.398762270956414, 47.432114967296904], [9.39841365231147, 47.43193638867725], [9.398460987814463, 47.4317927604795], [9.398212068878218, 47.431701766836504], [9.398259404716844, 47.43155813871025], [9.397924586164581, 47.43151620333876], [9.39784008021328, 47.43178612088788], [9.397396067706365, 47.431691792611936], [9.397458747409518, 47.431488399417205], [9.396948856639444, 47.43140276129635], [9.396811299127696, 47.43161651862887], [9.396471769972685, 47.43173555911166], [9.396714165918093, 47.43182376096701], [9.39677113157461, 47.431964082945164], [9.396556144998877, 47.43241405117812], [9.396842182944093, 47.43249837361409], [9.39735312885397, 47.4324791088149], [9.397531271882297, 47.432601056525684], [9.397437389302773, 47.432766903659875], [9.397932630970345, 47.43296999053221], [9.398316917466259, 47.433131519606896], [9.39855255115958, 47.43289795984802], [9.398541905567184, 47.43279935456537], [9.398829540228833, 47.432512550530106]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
