Geo Point;Geo Shape;Wärmeversorgung
47.43543083411237,9.415153347062416;"{""coordinates"": [[[9.416509954169605, 47.435612887654806], [9.416046555185352, 47.43551537199733], [9.415894288016792, 47.43542570426654], [9.415666253594528, 47.435214308305355], [9.41545214620874, 47.43502903472463], [9.415043675299566, 47.43466693882028], [9.414664325037267, 47.43473933606278], [9.413975137509937, 47.43483898887455], [9.414105771415715, 47.43504327171924], [9.413985023780125, 47.43545395747938], [9.414275381817644, 47.43577413485578], [9.414897074950543, 47.435600942000875], [9.415401315133108, 47.43592624969099], [9.415813165095708, 47.43620480413117], [9.415971158062556, 47.43644814946287], [9.416509954169605, 47.435612887654806]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.435727475207536,9.410441988788808;"{""coordinates"": [[[9.410026414688849, 47.43625494031688], [9.410468777199348, 47.435884378801354], [9.41104382074755, 47.436017393849504], [9.411260524782207, 47.43594823436065], [9.411506399115858, 47.43595594104132], [9.41161697348295, 47.43590727879387], [9.411878385989707, 47.435733620582276], [9.411380560222076, 47.435510231420324], [9.411308334737598, 47.43555533299733], [9.41065861525524, 47.43533714202375], [9.410479439148123, 47.4356195977919], [9.410236655431346, 47.43554852498266], [9.409999602074478, 47.43538335422929], [9.409187311739334, 47.435397195810836], [9.409190612593907, 47.43573555819916], [9.409487772979766, 47.43572710009139], [9.409903156969024, 47.43576905909536], [9.409692451793868, 47.436236829667564], [9.410026414688849, 47.43625494031688]]], ""type"": ""Polygon""}";Fernwärme Ausbau 2020 bis 2025
47.43680924889263,9.406349961107276;"{""coordinates"": [[[9.406372905592926, 47.4372915918864], [9.40693185813966, 47.4370099105122], [9.407044913256243, 47.43703172819863], [9.407022703199978, 47.43668116443903], [9.407008134384753, 47.43627512159983], [9.406341662399853, 47.436201403098245], [9.406222063123202, 47.43613702386457], [9.406124137535322, 47.43636116594858], [9.406178533822311, 47.43670805104962], [9.406296733865718, 47.43697518118984], [9.406169491056636, 47.4370702849906], [9.405722172880447, 47.43678126139761], [9.405177187165904, 47.43686867230328], [9.4061735007067, 47.43748894115905], [9.406372905592926, 47.4372915918864]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.42967023142948,9.397911138240058;"{""coordinates"": [[[9.398626709766212, 47.43024611998256], [9.398811860752676, 47.43003469296869], [9.398467621456088, 47.42983893725081], [9.398444466271147, 47.429620588411595], [9.398637384574608, 47.42921942033275], [9.398662531462566, 47.42911526866704], [9.397930796162292, 47.42899932590029], [9.397136133332168, 47.42906332111344], [9.396926428236414, 47.42932276403869], [9.397071023716313, 47.429478065467194], [9.397044501797714, 47.42990992472872], [9.397670128660348, 47.430155949474845], [9.398072593601844, 47.43035913253284], [9.398117468887904, 47.43025060698722], [9.398444146327957, 47.43038599549127], [9.398412505506576, 47.430411399407994], [9.398842039761861, 47.43057544321971], [9.39898986912598, 47.43038779791583], [9.398626709766212, 47.43024611998256]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.431822864114956,9.400168134003819;"{""coordinates"": [[[9.40043903464255, 47.43202946134764], [9.400516870435196, 47.43193142360884], [9.401022546077495, 47.43206101356663], [9.401458692386255, 47.4316308346535], [9.401194152097128, 47.431524799919856], [9.400615634960065, 47.43129696859574], [9.399884125629322, 47.431199612451444], [9.399365953507472, 47.43112279849412], [9.399246313947522, 47.43144618796885], [9.39983324507735, 47.431724724732206], [9.399422135038712, 47.432160401494876], [9.399342283127828, 47.43221025832304], [9.399174872020685, 47.43236386793809], [9.399857895805043, 47.43267606049663], [9.400062992350623, 47.43252975464127], [9.400379673431189, 47.43247617488956], [9.40049387890841, 47.43233855436638], [9.400285972799976, 47.432218303836066], [9.40043903464255, 47.43202946134764]]], ""type"": ""Polygon""}";Fernwärme Ausbau 2020 bis 2025
47.426908528581265,9.384051025282535;"{""coordinates"": [[[9.385582776077715, 47.42720675848259], [9.385390046490034, 47.42705809299539], [9.385336492875656, 47.42709309317592], [9.385139759891208, 47.426959996313784], [9.385170824650492, 47.42693467775179], [9.384541444802734, 47.426588757702326], [9.384299950937429, 47.42648120844811], [9.384255212988284, 47.42650676595946], [9.38347766282107, 47.42610597958857], [9.38284889936102, 47.42658932574938], [9.382739565104286, 47.42672291496582], [9.383094733209383, 47.427003714805764], [9.383667779629954, 47.42730873729675], [9.383975683205563, 47.42748336628646], [9.384433061547064, 47.427622927393315], [9.384812973878327, 47.427393318462435], [9.385109511978968, 47.42738212575383], [9.385582776077715, 47.42720675848259]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.426641055975644,9.387447831655557;"{""coordinates"": [[[9.38741215820399, 47.42638849306742], [9.386939530748759, 47.42633136023981], [9.386468002217626, 47.42642920504074], [9.386345977206107, 47.426465359709205], [9.38730233793416, 47.42688326538408], [9.38776366693671, 47.42700569771252], [9.388002206575456, 47.42703268672236], [9.388324904753624, 47.4264878087738], [9.387723953570877, 47.426468633434574], [9.38741215820399, 47.42638849306742]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.42995465343344,9.39592807405042;"{""coordinates"": [[[9.396132902867281, 47.430876662246995], [9.396370226187113, 47.43041440430917], [9.396986519419725, 47.430450666494195], [9.397044501797714, 47.42990992472872], [9.397071023716313, 47.429478065467194], [9.396183301214673, 47.42903440692966], [9.395883278473558, 47.42895935280284], [9.3957372698826, 47.42919669806486], [9.395416793378269, 47.42911922703007], [9.39478129173024, 47.43023580059172], [9.394596169464535, 47.43055018966311], [9.39563651007613, 47.43079442458857], [9.396132902867281, 47.430876662246995]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
47.43260054113754,9.393001813657678;"{""coordinates"": [[[9.394247051375332, 47.43287332359255], [9.394046158759556, 47.43275271847543], [9.393970141885335, 47.43279740537691], [9.393743896013532, 47.432733027238854], [9.393782723671197, 47.43267036402723], [9.39443332169726, 47.432315703561436], [9.394218842856356, 47.431968211539136], [9.393640337374627, 47.43221604623538], [9.393424738417472, 47.432076867365154], [9.393011948212644, 47.431822002927326], [9.392307029076607, 47.432298491490265], [9.391342704288563, 47.43216596989726], [9.391093573719807, 47.432597997433504], [9.392924588091102, 47.43290309547671], [9.392751433286632, 47.433322595963006], [9.393383336581781, 47.433365352600426], [9.393831020896103, 47.43348799237893], [9.3940123307085, 47.433199715518356], [9.393956740603791, 47.433178946477994], [9.394073197684964, 47.432990975043886], [9.394247051375332, 47.43287332359255]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
47.43311049564849,9.391710534151848;"{""coordinates"": [[[9.391963058640105, 47.43338315516518], [9.39202883347169, 47.433183635737315], [9.392751433286632, 47.433322595963006], [9.392924588091102, 47.43290309547671], [9.391093573719807, 47.432597997433504], [9.390908335353897, 47.43302894516611], [9.390800151432808, 47.43327106055526], [9.390739461663882, 47.433406912503955], [9.391175536377686, 47.43354179634145], [9.391243184236725, 47.43356272288881], [9.391887093620507, 47.43367895123013], [9.391963058640105, 47.43338315516518]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.4408622095571,9.394924703466483;"{""coordinates"": [[[9.395269428609028, 47.4414833647889], [9.395336438733533, 47.44097022881452], [9.395734074326983, 47.44110503621793], [9.395949932397853, 47.44096818324757], [9.395215983662553, 47.44063690093097], [9.3954658461645, 47.44015217674304], [9.395199888099828, 47.440094231260026], [9.395197593635935, 47.44003183192766], [9.395053040484168, 47.43993854289883], [9.394799337335305, 47.440046893874175], [9.394735277568046, 47.43997305206583], [9.39460787110673, 47.4401791665008], [9.394731582651284, 47.44020621404088], [9.39456677438053, 47.4403963170999], [9.3948528100571, 47.440499700277364], [9.394733617631251, 47.440659449984615], [9.394101377274273, 47.44042083465026], [9.393945300804114, 47.44068154927292], [9.394246998901252, 47.4407831485616], [9.39446001182734, 47.44085095289086], [9.394347084465585, 47.44102426236597], [9.39464667433823, 47.441538122919184], [9.394909735508165, 47.44185073858218], [9.395179667701745, 47.441748572640634], [9.395269428609028, 47.4414833647889]]], ""type"": ""Polygon""}";Fernwärme Ausbau 2020 bis 2025
47.43644874597,9.383015590521298;"{""coordinates"": [[[9.384001118270815, 47.43667952285187], [9.383976089549787, 47.43636993120679], [9.383795251277302, 47.43642257396067], [9.383461037429937, 47.436279389894224], [9.383505117981818, 47.43623524752409], [9.38336519012909, 47.436156999127945], [9.383129329372741, 47.43620436771036], [9.382879418421563, 47.43586755553501], [9.382808034731825, 47.435664150232014], [9.381622227469734, 47.435306203758856], [9.382681568702225, 47.43680873966264], [9.382891318555165, 47.436968468385665], [9.38368265924252, 47.43757108760028], [9.38392594053163, 47.43724811019523], [9.384014285012256, 47.43691491029836], [9.384001118270815, 47.43667952285187]]], ""type"": ""Polygon""}";Wärmeverbunde
47.421204760569424,9.362447331956645;"{""coordinates"": [[[9.362731088041457, 47.42093263622511], [9.360625272273724, 47.42073444572996], [9.360629025535626, 47.421218006960984], [9.361755022849422, 47.421426281698956], [9.363229372872189, 47.42169897373857], [9.363557659108357, 47.421759686524915], [9.363662421514551, 47.421520641348984], [9.363727521660714, 47.42151364598174], [9.363959735788699, 47.4214269256743], [9.364570337028294, 47.42119888401703], [9.36412790753796, 47.42110197452345], [9.363700142658233, 47.421008777671304], [9.362976523780771, 47.42095572881933], [9.362731088041457, 47.42093263622511]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
47.425588643607874,9.37845355793141;"{""coordinates"": [[[9.379355523984275, 47.42518630399168], [9.37875469052734, 47.424994880586986], [9.378731470181801, 47.42510998025366], [9.378319026445084, 47.425324613625456], [9.378128359112635, 47.425482820279655], [9.377833129234713, 47.42565518778904], [9.377564674024947, 47.425871135869926], [9.377799695979606, 47.42604130862901], [9.378204985791319, 47.4261292893467], [9.378496936726712, 47.425944758255035], [9.378967199728985, 47.425561749240636], [9.379355523984275, 47.42518630399168]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.40471259825274,9.32452409896327;"{""coordinates"": [[[9.32545631788697, 47.40525427235841], [9.325827405548683, 47.40501062460044], [9.325174183341725, 47.40464723512414], [9.324885679576317, 47.40449018425169], [9.324363433293096, 47.404302931546546], [9.323995772865413, 47.4041710929394], [9.323788437617027, 47.40410974475724], [9.323540538147098, 47.404036381628266], [9.323278898761195, 47.40396642697912], [9.323273816272456, 47.403982326194104], [9.323268318755941, 47.404002973470895], [9.323265095196067, 47.404023844556754], [9.323264180872334, 47.40404481292189], [9.323266387733643, 47.40407159625528], [9.323272348910377, 47.40409812041325], [9.32328198927684, 47.404124134711765], [9.323294855993554, 47.40414957456344], [9.323311030634576, 47.404174123749996], [9.323330387005262, 47.40419758640015], [9.32335132210914, 47.40422147312919], [9.323374293076824, 47.404244471948545], [9.323399244387337, 47.40426651178883], [9.32340578977661, 47.404272099950276], [9.323412439528813, 47.40427764142501], [9.323419179763333, 47.40428311844578], [9.323477732911423, 47.404315882993366], [9.323554017082067, 47.40434902397427], [9.323632050597281, 47.40438141662188], [9.323683994635026, 47.40440603887903], [9.323870280754079, 47.40450875597372], [9.323964442266998, 47.40462798283023], [9.324005654371787, 47.40470954063291], [9.323965241376047, 47.40478005098532], [9.323965354395074, 47.404783242989886], [9.323961809013408, 47.40478603586275], [9.323955905513364, 47.404796334527326], [9.323791184971727, 47.40495318197042], [9.323753721236962, 47.404981989127556], [9.323754930851683, 47.4049970659471], [9.323824945018801, 47.405005792909364], [9.323894293810753, 47.40501444072014], [9.324265235924907, 47.405051310349016], [9.32436719453462, 47.40512459813233], [9.324471465288248, 47.40519356562903], [9.324475618456383, 47.40519932773312], [9.324790978727995, 47.405179199847744], [9.325023982138385, 47.405241116820875], [9.325177043344338, 47.40514762423769], [9.32545631788697, 47.40525427235841]]], ""type"": ""Polygon""}";Wärmeverbunde
47.41340732997484,9.347123468899827;"{""coordinates"": [[[9.347972792572568, 47.41391141674734], [9.348141488909791, 47.41371619647574], [9.347695356969552, 47.413605440456486], [9.347989096500486, 47.41315125970852], [9.346742779253981, 47.412745274113206], [9.346415341212955, 47.41319432204857], [9.34662775373541, 47.413276131270905], [9.346478036315197, 47.41354023026671], [9.346225832036277, 47.413555649299695], [9.346271357520726, 47.413887374192285], [9.346408084592358, 47.41388246272156], [9.346510249125991, 47.413878787548406], [9.346691042808168, 47.41387229341612], [9.347184508751113, 47.41384707662282], [9.347468503608441, 47.41377562909661], [9.347972792572568, 47.41391141674734]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
47.42884151316523,9.36621534504812;"{""coordinates"": [[[9.367757825478204, 47.4286817425644], [9.36647046784839, 47.42797666775466], [9.365743528695925, 47.42840253611516], [9.364589599812508, 47.4291217848655], [9.364705638285308, 47.429233984589985], [9.364972432604961, 47.429306532880176], [9.364976248791397, 47.429310868711525], [9.364978096190102, 47.4293113597355], [9.364982083466998, 47.4293174920752], [9.36504589357067, 47.42938997738037], [9.36506920552537, 47.42941646226882], [9.365331985567359, 47.42942569419393], [9.365482285845218, 47.42943097082965], [9.36587748616842, 47.429443787768896], [9.366547123486473, 47.4294669966294], [9.36658314349208, 47.42944972471461], [9.366887217597636, 47.429304005058356], [9.367463785459885, 47.4288634553589], [9.367757825478204, 47.4286817425644]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
