coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor,longitude,latitude
2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,4,9.301398544106142,47.40253161326672
2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,5,9.301398544106142,47.40253161326672
2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,6,9.301398544106142,47.40253161326672
2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,7,9.301398544106142,47.40253161326672
2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,8,9.301398544106142,47.40253161326672
2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,9,9.301398544106142,47.40253161326672
2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,1,9.29981079678331,47.40085590579753
2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,2,9.29981079678331,47.40085590579753
2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,3,9.29981079678331,47.40085590579753
2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,4,9.29981079678331,47.40085590579753
2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,5,9.29981079678331,47.40085590579753
2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,6,9.29981079678331,47.40085590579753
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,1,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,2,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,3,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,4,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,5,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,6,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,7,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,8,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,3,83.0,1.0,3004,9,9.302909933985134,47.40190895602983
2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,3,86.0,1.0,3004,10,9.302909933985134,47.40190895602983
2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,1,9.30039818255502,47.40261071088622
2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,2,9.30039818255502,47.40261071088622
2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,3,9.30039818255502,47.40261071088622
