Geo Point;Geo Shape;Art;Bedeutung;Typ
47.4167206701,9.36469347354;"{""coordinates"": [[[9.364442658832061, 47.41669518393353], [9.364765437236482, 47.416838575649], [9.365088365375614, 47.41698202696642], [9.365091443810021, 47.416979186624054], [9.365023121061054, 47.41693030325761], [9.364944066231804, 47.41686432483659], [9.36487050615438, 47.41679670731024], [9.364802820616395, 47.41672549204446], [9.364707762479938, 47.41661577670459], [9.364670660314845, 47.41657617028429], [9.36462889492201, 47.41653919668048], [9.364581926611937, 47.416505692592686], [9.364442658832061, 47.41669518393353]]], ""type"": ""Polygon""}";Schulanlage;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4163492975,9.36469750079;"{""coordinates"": [[[9.364648192026088, 47.41641567235353], [9.364648200572042, 47.41641567527779], [9.364796109773016, 47.416216544869506], [9.364648192026088, 47.41641567235353]]], ""type"": ""Polygon""}";Schulanlage;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4164358961,9.36468673469;"{""coordinates"": [[[9.364690111019957, 47.41643015388817], [9.364678749598369, 47.41644694883613], [9.364686725306933, 47.41643658648986], [9.364691346067378, 47.41643058055314], [9.364690111019957, 47.41643015388817]]], ""type"": ""Polygon""}";Schulanlage;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4163583648,9.38246898815;"{""coordinates"": [[[9.382003119164105, 47.416238006330424], [9.382040095280464, 47.41636189234808], [9.382118759242486, 47.416368558523175], [9.382118810771855, 47.41636866292006], [9.382118868354953, 47.41636878790798], [9.382119536257445, 47.416370018244436], [9.382119564392482, 47.41637006275566], [9.382119621319072, 47.41637016976083], [9.382120302796755, 47.41637140886588], [9.382120430881562, 47.41637164962748], [9.382120530174813, 47.416371827895134], [9.382121400825424, 47.41637334722036], [9.382121499790472, 47.41637351649661], [9.38212215729468, 47.41637464354386], [9.382122270819616, 47.41637484856278], [9.382122341321324, 47.41637496433648], [9.382123174095145, 47.41637635384389], [9.382124090289372, 47.41637784991082], [9.382129530362976, 47.41638569816328], [9.382135499375233, 47.41639336657814], [9.382143228953908, 47.41640216867793], [9.38215166581492, 47.41641066558239], [9.382154574274601, 47.41641336071308], [9.38215471101084, 47.416413475372686], [9.38215754732767, 47.416416009772796], [9.382157821456754, 47.41641625707482], [9.382160585630661, 47.41641863074431], [9.382161009414693, 47.416418983491766], [9.38216370210223, 47.41642121441337], [9.382164275869496, 47.41642168159769], [9.38216742945599, 47.416424192667314], [9.38216760691773, 47.416424333632634], [9.382170811850772, 47.41642679885409], [9.382171016134572, 47.41642694836513], [9.382174272414112, 47.41642936773844], [9.382174476697983, 47.41642951724946], [9.382175089549596, 47.416429965782555], [9.382177811146118, 47.41643189932035], [9.382178015430005, 47.41643204883137], [9.382178491217024, 47.41643237371346], [9.382181455197012, 47.41643441113692], [9.38218163200233, 47.41643453411949], [9.382181944559255, 47.41643474478752], [9.382185177744802, 47.41643689464238], [9.382185462823161, 47.416437078781975], [9.382189032433603, 47.41643936692823], [9.38219250275068, 47.41644147680682], [9.382192814651146, 47.41644166949214], [9.382196024742578, 47.416443549828564], [9.382196661133845, 47.41644391699361], [9.382200369239087, 47.416446004878516], [9.382200572210008, 47.41644611842405], [9.382204344908654, 47.41644816023798], [9.382204561126514, 47.41644827356068], [9.382205061437999, 47.41644854404881], [9.382208466622648, 47.416450322137656], [9.382208588142642, 47.416450383071876], [9.38220875038807, 47.41645047031176], [9.382212490684628, 47.41645235072644], [9.382212666176992, 47.41645243774351], [9.382216282327722, 47.416454185292906], [9.382216808476521, 47.41645443735267], [9.382220786232972, 47.416456286782335], [9.382220988547429, 47.41645638234507], [9.38222500407519, 47.41645817715791], [9.382225233211686, 47.4164582812664], [9.382225947115064, 47.41645859314618], [9.382229340483171, 47.416460047545314], [9.382229528894229, 47.41646012534812], [9.382229892469379, 47.416460281176576], [9.38223387559496, 47.41646191459021], [9.382258125338558, 47.41647188910301], [9.382426500944241, 47.41654113984895], [9.382578929838159, 47.41660382100009], [9.382613098890639, 47.41660665597605], [9.382655394985207, 47.416610262898104], [9.38266571236455, 47.41661112395963], [9.382673104911866, 47.4166117463278], [9.382721607690462, 47.41661580661016], [9.382784533480597, 47.41649287605297], [9.382784014881189, 47.416492830797196], [9.382784051994916, 47.41649275819766], [9.382786229444081, 47.416488502021295], [9.382786748043447, 47.4164885472771], [9.382789754584449, 47.41648267570502], [9.382855897980825, 47.41639196279921], [9.38291348225383, 47.41632530759823], [9.382922778533848, 47.416314543843605], [9.382950070434367, 47.41629240211275], [9.382979880281173, 47.41627750548557], [9.383025469947354, 47.416262784166236], [9.383014852670279, 47.416258428394435], [9.383008347696359, 47.41626105698411], [9.383008086700373, 47.41626116933867], [9.383006129230363, 47.416262011997404], [9.383007290375303, 47.41625533476071], [9.382983929331125, 47.41624574131274], [9.3829273575539, 47.41622252758915], [9.382897307573437, 47.41620762155147], [9.382896835067914, 47.41620738658595], [9.382891639032268, 47.4162062954233], [9.382886549628212, 47.41620522045995], [9.38284727589718, 47.41619689338821], [9.382843457750338, 47.41619614791166], [9.38283733017004, 47.41619495546096], [9.382836916234572, 47.416194872456856], [9.382766028522312, 47.41618107635773], [9.382761823264525, 47.41618025641977], [9.382736383829457, 47.4161877919799], [9.382547509788605, 47.41617352464282], [9.382445641656446, 47.41614728502089], [9.382374080999746, 47.416128848613454], [9.38224282127405, 47.41611879380132], [9.38223543076982, 47.41611822535371], [9.382233981943326, 47.416118114770484], [9.382197747706945, 47.41611534141504], [9.382048721409603, 47.41611382457111], [9.382046325542005, 47.41612034889321], [9.382031093728251, 47.416161828837], [9.382003119164105, 47.416238006330424]], [[9.382713225219575, 47.41641421943266], [9.382600014834383, 47.41640625451198], [9.382590127634417, 47.41640555714895], [9.382579589367506, 47.41640481675695], [9.382580134609492, 47.41640123581982], [9.382459228406882, 47.41639160085456], [9.382456862254722, 47.41639141573675], [9.382453002950168, 47.41641386491427], [9.382451686912296, 47.41641376109669], [9.382450371202745, 47.41641366627045], [9.382449321087494, 47.416413584970066], [9.382440894000075, 47.4164129440038], [9.38244102374299, 47.4164121410983], [9.382402529774613, 47.41640919888924], [9.382402400031172, 47.416410001794695], [9.382391208072502, 47.41640914642546], [9.382394912051563, 47.41638679882907], [9.38220590152851, 47.416372803126684], [9.382197142052775, 47.416355433524956], [9.382187266801294, 47.41635469993914], [9.382188410652757, 47.41634754616862], [9.382189454321638, 47.41634091590246], [9.382193273471067, 47.41631700091796], [9.382192356155015, 47.41631692637849], [9.382193293287436, 47.416311008658255], [9.382194210603439, 47.41631108319771], [9.382197446054603, 47.41629078578216], [9.382196661864048, 47.41629072699735], [9.382201957050134, 47.41625750239772], [9.382202741240208, 47.41625756118257], [9.382205966720711, 47.41623735390292], [9.382205049406009, 47.416237279363514], [9.38220597689978, 47.41623146077088], [9.382206893886112, 47.41623152631888], [9.382210723312289, 47.41620753018785], [9.382211776939794, 47.41620080978476], [9.382221665081596, 47.416201534154304], [9.382239460694267, 47.41620282727228], [9.382248759234189, 47.416144200096134], [9.38234464382861, 47.41615141315964], [9.382339328025559, 47.416186248558176], [9.382432223963725, 47.416193286901624], [9.382434427501146, 47.416179943436504], [9.382481931873754, 47.41618353477663], [9.38247974487812, 47.416196967933445], [9.382611811256316, 47.41620696392471], [9.382612396562978, 47.416203391310006], [9.382622936760463, 47.41620418564721], [9.38263267985007, 47.41620493041586], [9.382745846563065, 47.41621352581491], [9.38275572113931, 47.4162142413703], [9.382754653019953, 47.41622092603571], [9.38274833089946, 47.41626050175429], [9.382814970257535, 47.41626539944881], [9.382815240672215, 47.416264819098075], [9.382826284921789, 47.41626562292978], [9.382825104589239, 47.41627322716659], [9.382824187601377, 47.41627316162348], [9.382809602071225, 47.41636738852743], [9.382810519060639, 47.41636745407067], [9.382809338723579, 47.41637505830704], [9.382806081746779, 47.41637479821597], [9.382798118301752, 47.41637414947483], [9.382798228112861, 47.41637352684189], [9.382765258642692, 47.4163708696713], [9.382731292376876, 47.41636813929329], [9.382724298458454, 47.41640819414906], [9.382723112422761, 47.41641491678514], [9.382713225219575, 47.41641421943266]]], ""type"": ""Polygon""}";Kirche;Lokal;Raum mit kulturellen und kommerziellen Angeboten
47.4166460313,9.38280569757;"{""coordinates"": [[[9.382806231667628, 47.41666630611605], [9.382807576338951, 47.41661788157038], [9.38280370899037, 47.416646276938295], [9.38280487206297, 47.416666509362365], [9.382806231667628, 47.41666630611605]]], ""type"": ""Polygon""}";Halbprivater Freiraum Siedlung;Lokal;Freiräume von Wohnsiedlungen und Institutionen
47.4178220418,9.37849748894;"{""coordinates"": [[[9.378420587550563, 47.41763350791599], [9.37816549935059, 47.41744824371975], [9.378147285709725, 47.417461315993336], [9.37816023494289, 47.417470743289826], [9.378173156375922, 47.417480135064025], [9.378401165747864, 47.41764579978869], [9.378402921555947, 47.41774527571649], [9.378601056853451, 47.41789025391671], [9.37853003122551, 47.41793308383184], [9.3786586032526, 47.418155901076126], [9.378691032788268, 47.41813899130521], [9.37857959663786, 47.41794736646656], [9.378667673762285, 47.41789412876187], [9.378434098907448, 47.41772456336231], [9.378420587550563, 47.41763350791599]]], ""type"": ""Polygon""}";Treppenanlage;Lokal;Treppenanlage
47.4187241298,9.35846420378;"{""coordinates"": [[[9.359228991852698, 47.41854808350705], [9.359274167779613, 47.41851340205843], [9.358650903575688, 47.41814523843686], [9.357589324885446, 47.41885065791487], [9.358275956522952, 47.41931533596397], [9.359274377042603, 47.418631035543896], [9.359228991852698, 47.41854808350705]]], ""type"": ""Polygon""}";FC Fortuna SG;Lokal;Zweckgebundene Freiräume
47.4186077668,9.38323063068;"{""coordinates"": [[[9.383078326643915, 47.41856425818763], [9.383535234333529, 47.41869479057063], [9.383078331055168, 47.41856425170485], [9.383078326643915, 47.41856425818763]]], ""type"": ""Polygon""}";Schulanlage (PW);Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4184973106,9.38382492367;"{""coordinates"": [[[9.383829090573018, 47.418497974472764], [9.383819716825213, 47.41849647911], [9.383819715809866, 47.41849648011691], [9.38382909019958, 47.418497976749514], [9.383829090573018, 47.418497974472764]]], ""type"": ""Polygon""}";Schulanlage (PW);Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.418698193,9.38356176476;"{""coordinates"": [[[9.383555534251222, 47.41869799030971], [9.3835555408556, 47.41869799086284], [9.38356867153332, 47.418698417633], [9.383568678747068, 47.418698417620384], [9.383555534251222, 47.41869799030971]]], ""type"": ""Polygon""}";Schulanlage (PW);Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4186979979,9.38357605458;"{""coordinates"": [[[9.383568796926319, 47.41869841554621], [9.383568798708849, 47.41869841549247], [9.383580358471784, 47.418697750389214], [9.383580367010088, 47.418697749531184], [9.383568796926319, 47.41869841554621]]], ""type"": ""Polygon""}";Schulanlage (PW);Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.41831247,9.38411279369;"{""coordinates"": [[[9.383987627505268, 47.418210945120016], [9.383985112057232, 47.41822604645559], [9.38397199169324, 47.418296847906596], [9.38397075668052, 47.41831082376738], [9.383972508540598, 47.418324774535776], [9.383977208711576, 47.418338406662556], [9.383984845127966, 47.41835153501474], [9.383995211378572, 47.41836377080252], [9.384008087236861, 47.41837485502376], [9.384023504703011, 47.418384647687034], [9.384040796225708, 47.41839287302934], [9.384059619143363, 47.41839936767732], [9.384079357301616, 47.41840431924226], [9.384099929576482, 47.41840732153056], [9.38412092147501, 47.41840831314388], [9.384141916392782, 47.41840731998955], [9.384162491877934, 47.41840431679129], [9.384182232574917, 47.418399363624246], [9.384200497280457, 47.41839268810948], [9.384217139910817, 47.41838428281077], [9.384231807804104, 47.418374327306466], [9.384244640234158, 47.418362896625624], [9.384254817173634, 47.41835029427554], [9.384262111683586, 47.418336802981514], [9.38426636113619, 47.41832272417905], [9.38428237935782, 47.41826920189976], [9.384168957453554, 47.41825353438014], [9.384175402789458, 47.418237953016806], [9.383987627505268, 47.418210945120016]]], ""type"": ""Polygon""}";Prägender Freiraum privat;Lokal;Privat genutzter Freiraum
47.4184360309,9.38448975548;"{""coordinates"": [[[9.383925556657378, 47.41852963029447], [9.383925733850775, 47.4185294707501], [9.383932553185408, 47.4185230997468], [9.383936889534883, 47.418520246708965], [9.383939721636157, 47.418518552616284], [9.38394082900429, 47.41851781420903], [9.383941541612744, 47.41851746311709], [9.383942506385942, 47.4185168862825], [9.383950060933456, 47.418513264714456], [9.383950227641542, 47.41851318363508], [9.383960530848555, 47.41850954728261], [9.383960675744298, 47.41850950500995], [9.383974466285377, 47.418505300071544], [9.383979415486026, 47.41850403777414], [9.38398140712924, 47.41850345672092], [9.383983148055854, 47.418503085620685], [9.383986890219033, 47.41850213094041], [9.38400263319121, 47.41849893211905], [9.384003087359037, 47.41849883530742], [9.38402570159417, 47.41849637631149], [9.38402639287046, 47.41849634862304], [9.384026709402752, 47.41849631436031], [9.384044791554285, 47.41849561167916], [9.384048563108163, 47.41849546061238], [9.38407586614815, 47.4184961365723], [9.384078640628065, 47.41849620480517], [9.384123498158095, 47.418497313740225], [9.384156932298868, 47.41849813905242], [9.384188388803036, 47.41849563011762], [9.384215335580354, 47.41848905403828], [9.3842676901863, 47.41847655575496], [9.38433541680652, 47.41846038339647], [9.384598949485824, 47.418396908157845], [9.384845487127198, 47.41833630964963], [9.385043258786007, 47.41848819283918], [9.385067795562335, 47.41850271437064], [9.385165771265196, 47.418532184231196], [9.38517111872534, 47.41851167121525], [9.385075947693696, 47.41848277490191], [9.384956316136764, 47.41839068251254], [9.384854293229823, 47.41831213964136], [9.38431845866742, 47.41844249522609], [9.384284009006292, 47.41844253546642], [9.384251810825264, 47.418457391646626], [9.38421740113169, 47.41846940604926], [9.38418073985886, 47.41847857035006], [9.384170283806796, 47.41847718993333], [9.384161945303582, 47.418478257004004], [9.384150505267637, 47.41847933130836], [9.384133090103585, 47.41848012834129], [9.384117744038518, 47.41848023376327], [9.384054680334348, 47.41848185330049], [9.38398201491204, 47.41848479504611], [9.383948792766711, 47.41848650593527], [9.383940895693135, 47.4184876825181], [9.383914314787491, 47.41847561532621], [9.3838386797316, 47.41843955059628], [9.383830839873967, 47.41848731027923], [9.383925556657378, 47.41852963029447]]], ""type"": ""Polygon""}";Treppenanlage;Lokal;Treppenanlage
47.4185175807,9.38394130309;"{""coordinates"": [[[9.38394082900429, 47.41851781420903], [9.383941538665958, 47.41851746487896], [9.383941541612744, 47.41851746311709], [9.38394082900429, 47.41851781420903]]], ""type"": ""Polygon""}";Treppenanlage;Lokal;Treppenanlage
47.4185038436,9.38398008134;"{""coordinates"": [[[9.383979415486026, 47.41850403777414], [9.383979421418342, 47.418504036261076], [9.38398140712924, 47.41850345672092], [9.383979415486026, 47.41850403777414]]], ""type"": ""Polygon""}";Treppenanlage;Lokal;Treppenanlage
47.419278624,9.37936189912;"{""coordinates"": [[[9.379362453397011, 47.4192767729675], [9.379360795772662, 47.41928230708712], [9.37936244817942, 47.419276791853115], [9.379362453397011, 47.4192767729675]]], ""type"": ""Polygon""}";Treppenanlage;Lokal;Treppenanlage
47.4202526296,9.34618400149;"{""coordinates"": [[[9.34602292602637, 47.42069327248939], [9.346014250482595, 47.42068422188132], [9.34601114612088, 47.42068559564568], [9.346009273176874, 47.42068363827267], [9.346083247600472, 47.420650964553644], [9.346086156038389, 47.42065407441412], [9.346108599898026, 47.42064416737255], [9.346112755572921, 47.420641502309074], [9.346115098291092, 47.42063796209536], [9.346115272109518, 47.420634082516735], [9.34611325173238, 47.42063045237969], [9.346177676928107, 47.42060245259993], [9.346193222460252, 47.42059569222315], [9.346245483491664, 47.42055299454014], [9.346243128241726, 47.42055015535144], [9.346270224968313, 47.420524346144624], [9.346300456472695, 47.420500195468755], [9.34638374688894, 47.420443041381475], [9.346471383196834, 47.42038842454646], [9.346574094936846, 47.42033021283996], [9.346678056801265, 47.42027622597466], [9.346789283761158, 47.42022300972911], [9.346386796980669, 47.419805009895164], [9.346386370184362, 47.41980456710232], [9.346264655904186, 47.419861041992725], [9.346150203114549, 47.41991781973399], [9.346034456806734, 47.419978828298376], [9.345920273727199, 47.420040927440134], [9.345807846284444, 47.420105084740264], [9.345772077172773, 47.42012599787417], [9.34578667764146, 47.4202090382477], [9.345716346659563, 47.420239833413106], [9.345718137190092, 47.420241711179855], [9.34571479728185, 47.42024316979498], [9.345806847970836, 47.420340279573544], [9.345656752699398, 47.420405643151554], [9.345651179863772, 47.4204080832744], [9.345817641528027, 47.420583079980844], [9.345819940578771, 47.42058549815672], [9.345821744694788, 47.4205873846945], [9.345933935856575, 47.420705321487596], [9.345935809120743, 47.420707287853304], [9.34593810950706, 47.42070970600492], [9.345951760301046, 47.42072405547215], [9.346002478804753, 47.42070230086171], [9.34602292602637, 47.42069327248939]]], ""type"": ""Polygon""}";Institutionelle Freiraeume;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4203213339,9.37999368152;"{""coordinates"": [[[9.381226448678246, 47.4204827872367], [9.381210664909858, 47.42046699135226], [9.381191651602204, 47.42045292857109], [9.381177151218212, 47.4204445479225], [9.381161502668991, 47.420437178927585], [9.380883844256513, 47.420319345503316], [9.380482903098535, 47.42015043143566], [9.380047796235841, 47.41996712731786], [9.37979545203266, 47.41986211933843], [9.379756848366068, 47.419839874371725], [9.379719917586344, 47.4198163561253], [9.379684752007973, 47.419791624228814], [9.37965143861309, 47.41976573750186], [9.379620057988845, 47.41973876116921], [9.379590689429836, 47.41971076137705], [9.379538098720904, 47.419649915386145], [9.37953622089347, 47.419655455709396], [9.379471857227974, 47.41963269504407], [9.379342325401062, 47.41964836492798], [9.379287419779011, 47.41966287139292], [9.37913845300178, 47.41968427365098], [9.37907974328114, 47.41972897350704], [9.379063662028422, 47.41977910328489], [9.37905880091909, 47.419888700181296], [9.379015934883832, 47.41993494232171], [9.379028574322794, 47.41996566941244], [9.379036278499346, 47.42005486813917], [9.37903184856333, 47.42012716667126], [9.379043261423949, 47.42020610067238], [9.37904762337245, 47.42023084888269], [9.379058610291946, 47.42029260601838], [9.379072704696844, 47.420362552101196], [9.3790984988394, 47.42046835126126], [9.379140126127178, 47.420526624903815], [9.379192896607218, 47.420579737039915], [9.379193791157416, 47.42058063969824], [9.379208267528709, 47.420595205439525], [9.379233467196714, 47.42062069233433], [9.379279416405184, 47.42066624465621], [9.379331420969377, 47.42070739476549], [9.379336911799095, 47.420711144214344], [9.379342766046458, 47.42071464464424], [9.37935473718786, 47.420720486794465], [9.379367706866995, 47.420725247844494], [9.379381464139747, 47.42072885036499], [9.379395784144728, 47.42073123515395], [9.37941390643403, 47.42073130506739], [9.379431738051528, 47.42072911085011], [9.37944867059123, 47.42072472659824], [9.379464123605343, 47.420718302411764], [9.37974726566446, 47.42058227877699], [9.37977621961875, 47.42056675955101], [9.37989118058591, 47.42050512788129], [9.37997825309789, 47.42054827969831], [9.380061733717367, 47.420587443205804], [9.380079632349553, 47.42059624733233], [9.380122663003995, 47.420617404772806], [9.380195875889237, 47.4206534118507], [9.380321675946602, 47.42071453624778], [9.38047779785833, 47.42078749469524], [9.380479916508907, 47.42078848473676], [9.380523468521885, 47.42080757298815], [9.380594568289194, 47.4208387300296], [9.380645057184585, 47.420860103826776], [9.380813777365399, 47.42092659728946], [9.380928534140509, 47.4209691310768], [9.380963788839889, 47.420979883573544], [9.380977368369544, 47.42098108043218], [9.380991029051032, 47.42098043246662], [9.381004232344512, 47.420977966722475], [9.38101645816713, 47.420973780111076], [9.381026207521124, 47.42096842504519], [9.381034251605543, 47.42096189306118], [9.381040287885137, 47.420954430360624], [9.381044087968949, 47.42094631698676], [9.381060771194846, 47.42090001037473], [9.381064466259717, 47.4208897458142], [9.381067223162969, 47.42088210701496], [9.381068594973877, 47.42087828727709], [9.381110688390583, 47.4207614607161], [9.381112962905512, 47.42075513367043], [9.381120931508502, 47.420733021267715], [9.381122929863873, 47.42072748159156], [9.38113028753132, 47.42071078657667], [9.381145480443468, 47.420676316989756], [9.38117162341439, 47.42062627958127], [9.381203212640603, 47.42057687935925], [9.381247054912018, 47.42051819530302], [9.381238665797627, 47.42049997821216], [9.381226448678246, 47.4204827872367]]], ""type"": ""Polygon""}";bedeutende Freiraeume Wohnsiedlung;Lokal;Freiräume von Wohnsiedlungen und Institutionen
47.4205376447,9.36876938594;"{""coordinates"": [[[9.369331296418677, 47.42043541926977], [9.368623027015962, 47.42015527611868], [9.368242519876837, 47.420598939673944], [9.368234146091385, 47.420612214877636], [9.368231999774528, 47.42062212024434], [9.368234258601607, 47.420636162573075], [9.36824343386252, 47.42065011640227], [9.368253125065214, 47.4206596531665], [9.368268162534099, 47.42066564587271], [9.36885261366837, 47.420897225262735], [9.368874072461356, 47.420903362546824], [9.368892964020178, 47.420904504480745], [9.368906791046163, 47.42090306794428], [9.368922216658264, 47.420898923646654], [9.36893946567471, 47.42088986360707], [9.368950163265024, 47.42087962645243], [9.369331296418677, 47.42043541926977]]], ""type"": ""Polygon""}";Schulanalgen;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4209809303,9.36129599875;"{""coordinates"": [[[9.361793802293382, 47.42103162982741], [9.361806204165608, 47.42096762701493], [9.361812001383932, 47.42093582575781], [9.360774054539739, 47.4208397169326], [9.360764385201126, 47.42083882513713], [9.360764436939533, 47.42084466320841], [9.360751963024356, 47.42084649911101], [9.36074181511654, 47.420849240989405], [9.360731077466717, 47.42085363909277], [9.3607203892916, 47.420860141626484], [9.360712888770568, 47.4208668160603], [9.360706145130054, 47.420876095977306], [9.360703502693749, 47.420882212776604], [9.360700890931296, 47.42089762277342], [9.360685573361598, 47.42101381047119], [9.360889952919939, 47.421028053721265], [9.360899120270695, 47.42098347496648], [9.361081307366216, 47.42100060613774], [9.361291413449731, 47.421020349431565], [9.361293914163863, 47.42102058672686], [9.36129220476861, 47.42103088053215], [9.361427985082502, 47.42104257544866], [9.36141190952691, 47.42111755247209], [9.361612025489318, 47.42114952614198], [9.361765795485944, 47.42117408365157], [9.361773834101783, 47.421134606802404], [9.361782783604648, 47.42108842116256], [9.361793802293382, 47.42103162982741]]], ""type"": ""Polygon""}";Sportflaechen;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4226407041,9.3747176444;"{""coordinates"": [[[9.375306717670288, 47.42190506658432], [9.37514523308248, 47.42184218570538], [9.375000980294724, 47.421876514735594], [9.374787240205157, 47.42216274999191], [9.37480934378941, 47.42226566348542], [9.374666072826718, 47.422580839207356], [9.374541747294584, 47.422848032933075], [9.374485327220162, 47.42293591367733], [9.374404212183718, 47.423015912054254], [9.37431906524034, 47.423161408353664], [9.374243247750917, 47.42335986928091], [9.374202529555241, 47.42348764067439], [9.374263480350669, 47.4235657326562], [9.374339331843311, 47.42360211937024], [9.374414313898603, 47.42336953296463], [9.374594520335553, 47.423082099707486], [9.374724047498537, 47.422824367158384], [9.374899955123139, 47.42242370172975], [9.375055960184024, 47.42218586333718], [9.375306717670288, 47.42190506658432]]], ""type"": ""Polygon""}";;Lokal;Privat genutzter Freiraum
47.4236049858,9.37269760272;"{""coordinates"": [[[9.372723036944441, 47.42369304022919], [9.372830851067663, 47.42357985496002], [9.37268949078229, 47.42351919792882], [9.372554316121539, 47.423621846792734], [9.372723036944441, 47.42369304022919]]], ""type"": ""Polygon""}";;Lokal;Raum mit kulturellen und kommerziellen Angeboten
47.4243948245,9.386844803;"{""coordinates"": [[[9.386696063497215, 47.424622972634346], [9.386732035928356, 47.42458474132789], [9.3866763230965, 47.424540732065736], [9.386697673277022, 47.42453510900592], [9.386779549882847, 47.424527529975094], [9.386826990699321, 47.424476653633654], [9.386829049485202, 47.42447277726131], [9.38682982592275, 47.42446972322827], [9.386829666223115, 47.42446572231065], [9.386828089064059, 47.42446102553802], [9.386823454643427, 47.424453933153295], [9.386804222681967, 47.42442579124146], [9.386804623130821, 47.42442296846872], [9.386806494786722, 47.42441905026689], [9.386810702604354, 47.42441484976743], [9.386815233075822, 47.4244118584069], [9.386821976349877, 47.42440919861551], [9.386828868312682, 47.42440806578609], [9.386887549490385, 47.42440278503186], [9.386893542005811, 47.42440243209611], [9.386901083818227, 47.42440130630073], [9.386906051074412, 47.42440010694841], [9.386914703501182, 47.42439600245665], [9.386920580418655, 47.42439140494264], [9.386925908537306, 47.42438666373334], [9.386932092739407, 47.424379595894145], [9.386936651365346, 47.424372303547045], [9.386939609428909, 47.42436547003315], [9.386941190431443, 47.424359406475354], [9.386941659756575, 47.424355206018646], [9.38694088509804, 47.42434925414915], [9.386924973804867, 47.4242705837954], [9.386925312364683, 47.42426751914968], [9.386927034733054, 47.42426314462151], [9.386930763351653, 47.4242585293425], [9.386936252164453, 47.42425491902966], [9.386946489402396, 47.42425101273906], [9.386957408239725, 47.424250153894675], [9.38701882472063, 47.42425079188574], [9.387024760435498, 47.42425106068502], [9.387032146200104, 47.424250018483455], [9.387036957007407, 47.424247805115655], [9.38703989314885, 47.42424544341615], [9.387042958574224, 47.42424118119581], [9.387066131981127, 47.42420678230273], [9.387067040889297, 47.424203726034165], [9.387067341835266, 47.42419999625297], [9.387066674385272, 47.424195886936204], [9.387065871162948, 47.42418879294522], [9.387064356635925, 47.42417530516992], [9.387060711672618, 47.424167719277406], [9.387015872258809, 47.424137903861855], [9.387017203970624, 47.424136981722256], [9.38699402265946, 47.42412842964707], [9.386981067917146, 47.42414465349794], [9.38700438205036, 47.424153212333344], [9.387039255924838, 47.42417661005437], [9.38704212269416, 47.42420204987537], [9.38702722751789, 47.42422320974399], [9.387019134530485, 47.424230282779504], [9.386945349195653, 47.424230366135134], [9.386933861237527, 47.42423161244194], [9.386925766536006, 47.424233206401524], [9.386914934014193, 47.42423606109448], [9.386908134480315, 47.42423863187152], [9.386900493511709, 47.42424320514322], [9.38689768622405, 47.424246914198285], [9.386896272449714, 47.424250302864145], [9.386896390263988, 47.42425497025707], [9.386898030283515, 47.42426138437279], [9.386915696887321, 47.42435469004668], [9.386915728857925, 47.42436244481529], [9.386913736150868, 47.42436848832274], [9.386909587172518, 47.42437465815023], [9.38690434587152, 47.42437923595143], [9.386899735340812, 47.42438185079644], [9.386893103415032, 47.42438429279035], [9.386887920887386, 47.42438540580252], [9.38681723346754, 47.42439153672944], [9.386800614705274, 47.42439349929652], [9.386792284701741, 47.424395547056626], [9.3867868613768, 47.42439804964231], [9.386782198002203, 47.424401394120274], [9.386777791915858, 47.42440923269887], [9.38677632881661, 47.42441525827894], [9.386776229702562, 47.42441979437527], [9.38677682430679, 47.42442372498352], [9.386779175806486, 47.42443001914436], [9.386785451166357, 47.4244395670067], [9.3868051036259, 47.42446833161425], [9.386765292321492, 47.42451142299423], [9.386674911758154, 47.424519919092404], [9.38666740184454, 47.42452191703178], [9.386660094769756, 47.424524748260986], [9.386654437137446, 47.42452773162393], [9.386650541363327, 47.42453031641666], [9.386647038691494, 47.424533137498734], [9.386645411037893, 47.424534667412786], [9.386642171353799, 47.42453887857742], [9.386641510408591, 47.42454508856535], [9.386687693047442, 47.424581899045194], [9.386687412362361, 47.42458944315796], [9.38668608167884, 47.424592929385454], [9.386633804580226, 47.4245837520709], [9.386613579128861, 47.424574466332025], [9.386596405487339, 47.42459169692144], [9.386623072981342, 47.42460602928671], [9.386623285089543, 47.42460965145209], [9.386631207353785, 47.42460225743717], [9.386655300227178, 47.42460709650526], [9.38665584436289, 47.4246045772051], [9.386700144913455, 47.424612782351446], [9.386692156813774, 47.4246212750997], [9.386696063497215, 47.424622972634346]]], ""type"": ""Polygon""}";Treppenanlage;Lokal;Treppenanlage
