"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"261";"Zürich";6;"bew_mie_z1_ic";;"N"
"261";"Zürich";6;"bew_mie_z2_t";51749;"A"
"261";"Zürich";6;"bew_mie_z2_ic";;"N"
"261";"Zürich";6;"bew_mie_z3_t";113499;"A"
"261";"Zürich";6;"bew_mie_z3_ic";;"N"
"261";"Zürich";6;"bew_mie_z4_t";82682;"A"
"261";"Zürich";6;"bew_mie_z4_ic";;"N"
"261";"Zürich";6;"bew_mie_z5_t";22731;"A"
"261";"Zürich";6;"bew_mie_z5_ic";0.1;"A"
"261";"Zürich";6;"bew_mie_z6_t";5444;"A"
"261";"Zürich";6;"bew_mie_z6_ic";0.1;"A"
"371";"Biel/Bienne";5;"bew_mie_t";31757;"A"
"371";"Biel/Bienne";5;"bew_mie_t_ic";0.05;"A"
"371";"Biel/Bienne";5;"bew_mie_z1_t";1427;"A"
"371";"Biel/Bienne";5;"bew_mie_z1_ic";0.2;"A"
"371";"Biel/Bienne";5;"bew_mie_z2_t";4043;"A"
"371";"Biel/Bienne";5;"bew_mie_z2_ic";0.1;"A"
"371";"Biel/Bienne";5;"bew_mie_z3_t";13055;"A"
"371";"Biel/Bienne";5;"bew_mie_z3_ic";0.1;"A"
"371";"Biel/Bienne";5;"bew_mie_z4_t";10365;"A"
"371";"Biel/Bienne";5;"bew_mie_z4_ic";0.1;"A"
"371";"Biel/Bienne";5;"bew_mie_z5_t";2513;"A"
"371";"Biel/Bienne";5;"bew_mie_z5_ic";0.2;"A"
"371";"Biel/Bienne";5;"bew_mie_z6_t";353;"U"
"371";"Biel/Bienne";5;"bew_mie_z6_ic";0.5;"U"
"5192";"Lugano";5;"bew_mie_t";34127;"A"
"5192";"Lugano";5;"bew_mie_t_ic";0.03;"A"
"5192";"Lugano";5;"bew_mie_z1_t";2031;"A"
"5192";"Lugano";5;"bew_mie_z1_ic";0.1;"A"
"5192";"Lugano";5;"bew_mie_z2_t";6523;"A"
"5192";"Lugano";5;"bew_mie_z2_ic";0.1;"A"
"5192";"Lugano";5;"bew_mie_z3_t";12928;"A"
"5192";"Lugano";5;"bew_mie_z3_ic";;"N"
"5192";"Lugano";5;"bew_mie_z4_t";9935;"A"
"5192";"Lugano";5;"bew_mie_z4_ic";0.1;"A"
"5192";"Lugano";5;"bew_mie_z5_t";2229;"A"
"5192";"Lugano";5;"bew_mie_z5_ic";0.1;"A"
"5192";"Lugano";5;"bew_mie_z6_t";480;"A"
"5192";"Lugano";5;"bew_mie_z6_ic";0.2;"A"
"1061";"Luzern";5;"bew_mie_t";56734;"A"
"1061";"Luzern";5;"bew_mie_t_ic";0.02;"A"
