,coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor
11834,2740230.3,1251623.8,St. Gallen,SG,2007.0,Geigerstrasse,22,1.0,6.0,300.0,1.0,3004,1
11835,2740245.5,1251689.2,St. Gallen,SG,1983.0,Wiesenbachstrasse,9d,1.0,5.0,90.0,1.0,3004,1
11836,2740250.5,1251674.3,St. Gallen,SG,1983.0,Wiesenbachstrasse,9e,1.0,5.0,,1.0,3004,1
11837,2740243.4,1251694.8,St. Gallen,SG,1983.0,Wiesenbachstrasse,9c,1.0,4.0,110.0,1.0,3004,1
11838,2740235.9,1251618.9,St. Gallen,SG,2007.0,Geigerstrasse,20,1.0,6.0,300.0,1.0,3004,1
11839,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,5.0,125.0,1.0,3004,1
11840,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,3.0,75.0,1.0,3004,2
11841,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,4.0,99.0,1.0,3004,3
11842,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,5.0,125.0,1.0,3004,4
11843,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,3.0,75.0,1.0,3004,5
11844,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,4.0,99.0,1.0,3004,6
11845,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,5.0,125.0,1.0,3004,7
11846,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,3.0,75.0,1.0,3004,8
11847,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,4.0,99.0,1.0,3004,9
11848,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,1.0,4.0,112.0,1.0,3004,10
11849,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,1.0,4.0,104.0,1.0,3004,11
11850,2740188.5,1251712.7,St. Gallen,SG,1977.0,Wiesenbachstrasse,6,1.0,5.0,120.0,1.0,3004,1
11851,2740182.2,1251667.2,St. Gallen,SG,1989.0,Geigerstrasse,30,1.0,6.0,150.0,1.0,3004,1
11852,2740279.6,1251680.1,St. Gallen,SG,1983.0,Wiesenbachstrasse,7c,1.0,5.0,130.0,1.0,3004,1
11853,2740171.1,1251775.0,St. Gallen,SG,1980.0,Kreuzbühlstrasse,40,0.0,5.0,140.0,1.0,3004,1
11854,2740171.1,1251775.0,St. Gallen,SG,1980.0,Kreuzbühlstrasse,40,0.0,4.0,120.0,1.0,3004,2
11855,2740171.1,1251775.0,St. Gallen,SG,1980.0,Kreuzbühlstrasse,40,0.0,4.0,120.0,1.0,3004,3
11856,2740171.1,1251775.0,St. Gallen,SG,1980.0,Kreuzbühlstrasse,40,0.0,5.0,140.0,1.0,3004,4
11857,2740208.5,1251646.4,St. Gallen,SG,1988.0,Geigerstrasse,26a,1.0,7.0,230.0,1.0,3004,1
11858,2740275.6,1251690.6,St. Gallen,SG,1983.0,Wiesenbachstrasse,7b,1.0,5.0,120.0,1.0,3004,1
11859,2740262.7,1251712.8,St. Gallen,SG,1979.0,Wiesenbachstrasse,7a,1.0,5.0,125.0,1.0,3004,1
11860,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,4
11861,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,5
11862,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,6
11863,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,7
11864,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,8
11865,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,9
11866,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,10
11867,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,11
11868,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,12
11869,2740298.3,1251641.4,St. Gallen,SG,2008.0,Lilienthalstrasse,13,1.0,4.0,127.0,1.0,3004,13
11870,2740273.3,1251606.2,St. Gallen,SG,2008.0,Geigerstrasse,16,0.0,4.0,100.0,1.0,3004,11
11871,2740273.3,1251606.2,St. Gallen,SG,2008.0,Geigerstrasse,16,0.0,4.0,100.0,1.0,3004,12
11872,2740273.3,1251606.2,St. Gallen,SG,2008.0,Geigerstrasse,16,1.0,5.0,124.0,1.0,3004,13
11873,2740165.8,1251681.6,St. Gallen,SG,1989.0,Geigerstrasse,30c,1.0,6.0,190.0,1.0,3004,1
11874,2740160.5,1251686.4,St. Gallen,SG,1989.0,Geigerstrasse,30d,0.0,5.0,200.0,1.0,3004,1
11875,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,1
11876,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,3.0,75.0,1.0,3004,2
11877,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,3
11878,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,4
11879,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,5
11880,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,6
11881,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,4.0,98.0,1.0,3004,7
11882,2740135.6,1251760.3,St. Gallen,SG,1973.0,Kreuzbühlstrasse,42,0.0,8.0,196.0,1.0,3004,9
11883,2740235.3,1251718.1,St. Gallen,SG,1983.0,Wiesenbachstrasse,9a,1.0,4.0,95.0,1.0,3004,1
11884,2740176.6,1251672.1,St. Gallen,SG,1989.0,Geigerstrasse,30a,1.0,6.0,210.0,1.0,3004,1
11885,2740254.3,1251663.8,St. Gallen,SG,1983.0,Wiesenbachstrasse,9f,1.0,5.0,140.0,1.0,3004,1
11886,2740328.6,1251627.2,St. Gallen,SG,1999.0,Geigerstrasse,12,0.0,4.0,120.0,1.0,3004,1
11887,2740328.6,1251627.2,St. Gallen,SG,1999.0,Geigerstrasse,12,0.0,4.0,120.0,1.0,3004,2
