,coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor
1553,2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1,5,150.0,1.0,3004,1
1554,2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1,3,90.0,1.0,3004,2
1555,2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1,5,180.0,1.0,3004,1
1556,2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1,3,94.0,1.0,3004,2
1557,2739893.8,1251957.3,St. Gallen,SG,1969.0,Schoretshuebstrasse,35,1,6,140.0,1.0,3004,1
1701,2740874.6,1251822.2,St. Gallen,SG,1918.0,Neuhofweg,51,0,5,138.0,1.0,3004,1
1702,2740874.6,1251822.2,St. Gallen,SG,1918.0,Neuhofweg,51,0,4,110.0,1.0,3004,2
1703,2740874.6,1251822.2,St. Gallen,SG,1918.0,Neuhofweg,51,0,3,61.0,1.0,3004,3
1704,2740627.5,1251739.3,St. Gallen,SG,1962.0,Blériotweg,3,0,4,71.0,1.0,3004,1
1705,2740627.5,1251739.3,St. Gallen,SG,1962.0,Blériotweg,3,0,4,78.0,1.0,3004,2
1706,2740627.5,1251739.3,St. Gallen,SG,1962.0,Blériotweg,3,0,4,76.0,1.0,3004,3
1707,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,1
1708,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,2
1709,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,3
1710,2740592.8,1251830.8,St. Gallen,SG,1918.0,Herisauer Strasse,82,0,4,100.0,1.0,3004,4
1711,2740643.1,1251728.1,St. Gallen,SG,1962.0,Blériotweg,7,0,4,71.0,1.0,3004,1
1712,2740643.1,1251728.1,St. Gallen,SG,1962.0,Blériotweg,7,0,4,78.0,1.0,3004,2
1713,2740643.1,1251728.1,St. Gallen,SG,1962.0,Blériotweg,7,0,4,76.0,1.0,3004,3
1714,2740639.1,1251918.5,St. Gallen,SG,1918.0,Herisauer Strasse,71,0,5,150.0,1.0,3004,1
1715,2740639.1,1251918.5,St. Gallen,SG,1918.0,Herisauer Strasse,71,0,5,150.0,1.0,3004,2
1716,2740639.1,1251918.5,St. Gallen,SG,1918.0,Herisauer Strasse,71,0,5,150.0,1.0,3004,3
1717,2740632.9,1251894.8,St. Gallen,SG,1918.0,Herisauer Strasse,73,0,4,90.0,1.0,3004,1
1718,2740632.9,1251894.8,St. Gallen,SG,1918.0,Herisauer Strasse,73,0,4,90.0,1.0,3004,2
1719,2740632.9,1251894.8,St. Gallen,SG,1918.0,Herisauer Strasse,73,0,3,76.0,1.0,3004,3
1720,2740673.0,1251738.9,St. Gallen,SG,1962.0,Blériotweg,9b,0,4,68.0,1.0,3004,1
1721,2740673.0,1251738.9,St. Gallen,SG,1962.0,Blériotweg,9b,0,4,74.0,1.0,3004,2
1722,2740673.0,1251738.9,St. Gallen,SG,1962.0,Blériotweg,9b,0,4,75.0,1.0,3004,3
1723,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,97.0,1.0,3004,1
1724,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,97.0,1.0,3004,2
1725,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,97.0,1.0,3004,3
1726,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,87.0,1.0,3004,4
1727,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,5
1728,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,6
1729,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,7
1730,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,8
1731,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,1
1732,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,2
1733,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,3
1734,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,4
1735,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,5
1736,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,6
1737,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,7
1738,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,8
1739,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,9
1740,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,1
1741,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,2
1742,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,3
1743,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,4
1744,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,5
1745,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,6
1746,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,1
1747,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,2
1748,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,3
1749,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,4
1750,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,5
1751,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,6
1752,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,7
1753,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,8
1754,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,3,83.0,1.0,3004,9
1755,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,3,86.0,1.0,3004,10
1756,2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,1
1757,2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,2
1758,2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,3
1759,2740524.3,1251866.0,St. Gallen,SG,1952.0,Mittelholzerstrasse,8,0,4,85.0,1.0,3004,4
1760,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,4,80.0,1.0,3004,1
1761,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,1,30.0,1.0,3004,2
1762,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,2,50.0,1.0,3004,3
1763,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,3,65.0,1.0,3004,4
1764,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,4,80.0,1.0,3004,5
1765,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,1,30.0,1.0,3004,6
1766,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,2,50.0,1.0,3004,7
1767,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,3,65.0,1.0,3004,8
1768,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,4,88.0,1.0,3004,9
1769,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,1,30.0,1.0,3004,10
1770,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,2,50.0,1.0,3004,11
1771,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,3,65.0,1.0,3004,12
1772,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,4,90.0,1.0,3004,13
1773,2740530.1,1251794.1,St. Gallen,SG,1960.0,Mittelholzerstrasse,9,0,4,90.0,1.0,3004,14
1774,2740683.5,1251796.3,St. Gallen,SG,1918.0,Altwinkelnstrasse,22,0,4,76.0,1.0,3004,1
